Name,Salary,AvgPointsPerGame
Rory McIlroy,11300,98.71
Justin Thomas,10900,87.3
Bryson DeChambeau,10700,80.23
Jon Rahm,10500,88.86
Xander Schauffele,10200,82.15
Collin Morikawa,10000,81.33
Sungjae Im,9700,81.07
Hideki Matsuyama,9500,82.64
Justin Rose,9200,61.79
Webb Simpson,9000,88.86
Daniel Berger,8900,81
Patrick Reed,8800,82.73
Jordan Spieth,8700,65.75
Brooks Koepka,8600,53.06
Dustin Johnson,8500,73.75
Gary Woodland,8400,82.2
Matt Kuchar,8300,65.65
Tony Finau,8200,73.73
Rickie Fowler,8100,62
Abraham Ancer,8000,72.92
Tyrrell Hatton,8000,93.25
Jason Kokrak,7900,57.64
Matthew Fitzpatrick,7900,71.39
Shane Lowry,7800,57.38
Scottie Scheffler,7800,79.39
Branden Grace,7800,60.04
Billy Horschel,7700,67.33
Louis Oosthuizen,7700,76.19
Kevin Kisner,7700,62.5
Ian Poulter,7600,57.83
Viktor Hovland,7600,61.71
Jason Day,7600,52.44
Brandt Snedeker,7500,68.69
J.T. Poston,7500,65.75
Joel Dahmen,7500,67.39
Byeong Hun An,7500,69.21
Rafa Cabrera Bello,7400,59.23
Bubba Watson,7400,65.18
Corey Conners,7400,61.62
Joaquin Niemann,7400,60.38
Harold Varner III,7400,63.54
Harris English,7300,73.08
Sergio Garcia,7300,64.67
Kevin Na,7300,63.96
Adam Hadwin,7300,75.11
Ryan Palmer,7300,67.3
Bud Cauley,7200,61.21
Brian Harman,7200,70.15
Christiaan Bezuidenhout,7200,65.67
Luke List,7200,56.85
Rory Sabbatini,7200,59.15
Graeme McDowell,7200,57.64
Scott Piercy,7100,60.69
Lucas Glover,7100,56.58
Cameron Smith,7100,67.79
Patrick Rodgers,7100,62.31
Russell Henley,7100,54.36
Maverick McNealy,7100,68.63
Jim Furyk,7100,55.57
Alex Noren,7000,66.67
Luke Donald,7000,57.8
Talor Gooch,7000,67.68
Kevin Streelman,7000,51.73
Danny Lee,7000,60.04
Max Homa,7000,65.21
Zach Johnson,7000,54.86
Russell Knox,6900,57.03
Chesson Hadley,6900,60.31
Matthew Wolff,6900,58.5
Ryan Moore,6900,59.67
Brendon Todd,6900,66.37
Harry Higgs,6900,66.53
Charles Howell III,6900,65.23
Emiliano Grillo,6800,48.14
Andrew Landry,6800,50.85
Andrew Putnam,6800,54.8
Matt Wallace,6800,47.56
Charley Hoffman,6800,57.65
Danny Willett,6800,47.06
Chez Reavie,6800,56.23
Sebastian Munoz,6700,66.47
Si Woo Kim,6700,42.29
C.T. Pan,6700,39.04
Vaughn Taylor,6700,63.18
Dylan Frittelli,6700,59.37
Matt Jones,6700,57.7
Jhonattan Vegas,6700,58.12
Matthew NeSmith,6600,62.77
Sam Burns,6600,52.14
Charl Schwartzel,6600,44.67
Erik Van Rooyen,6600,58
Jazz Janewattananond,6600,45
Brian Stuard,6600,60.31
Tom Hoge,6600,57.32
Adam Schenk,6500,54.22
Sung Kang,6500,61.89
Jason Dufner,6500,45.71
Jimmy Walker,6500,47.54
Victor Perez,6500,78.33
Pat Perez,6500,62.14
Keith Mitchell,6500,53.27
Lanto Griffin,6500,66.65
Aaron Wise,6400,49.41
Bronson Burgoon,6400,58.62
Doc Redman,6400,60.75
Cameron Tringale,6400,67.79
Nick Watney,6400,51.88
Mark Hubbard,6400,66.03
Troy Merritt,6400,52.33
Tyler Duncan,6400,52.94
Aaron Baddeley,6400,56.85
Mackenzie Hughes,6300,40.31
Carlos Ortiz,6300,68.61
Nate Lashley,6300,49.31
Adam Long,6300,65.28
Wesley Bryan,6300,0
Brian Gay,6300,57.8
Peter Malnati,6300,46.64
Wyndham Clark,6300,53.32
Kevin Chappell,6300,49.6
Kyle Stanley,6200,48.15
Sepp Straka,6200,41.25
Scott Stallings,6200,62.33
Michael Thompson,6200,44.73
Kevin Tway,6200,46.38
J.J. Spaun,6200,49.65
Denny McCarthy,6200,70.39
Scott Brown,6200,45.84
Brice Garnett,6200,54.58
Roger Sloan,6100,39.42
Bernhard Langer,6100,25.5
K.J. Choi,6100,43.5
Sam Ryder,6100,52.21
Chris Stroud,6100,42.5
Stewart Cink,6100,66.22
Glen Day,6100,0
Vijay Singh,6100,16
Matt Every,6100,43.58
Austin Cook,6100,47.5
Kyoung-Hoon Lee,6100,49.35
Ted Potter Jr.,6000,43.88
David Hearn,6000,55.12
Jim Herman,6000,34.82
Michael Kim,6000,24.31
Andy Ogletree,6000,25
Ernie Els,6000,51.5
Patton Kizzire,6000,43.19
Ryan Armour,6000,45.81
Bo Van Pelt,6000,33.18
Spencer Ralston,6000,0
Bill Haas,6000,48.9
Martin Trainer,6000,29.68
Davis Love III,6000,24.6
Michael Gligic,6000,43.42
