Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
G,Rory McIlroy (14631833),Rory McIlroy,14631833,G,11300,RBC Heritage,Golf,98.71
G,Justin Thomas (14631834),Justin Thomas,14631834,G,10900,RBC Heritage,Golf,87.3
G,Bryson DeChambeau (14631835),Bryson DeChambeau,14631835,G,10700,RBC Heritage,Golf,80.23
G,Jon Rahm (14631836),Jon Rahm,14631836,G,10500,RBC Heritage,Golf,88.86
G,Xander Schauffele (14631837),Xander Schauffele,14631837,G,10200,RBC Heritage,Golf,82.15
G,Collin Morikawa (14631838),Collin Morikawa,14631838,G,10000,RBC Heritage,Golf,81.33
G,Sungjae Im (14631839),Sungjae Im,14631839,G,9700,RBC Heritage,Golf,81.07
G,Hideki Matsuyama (14631840),Hideki Matsuyama,14631840,G,9500,RBC Heritage,Golf,82.64
G,Justin Rose (14631841),Justin Rose,14631841,G,9200,RBC Heritage,Golf,61.79
G,Webb Simpson (14631842),Webb Simpson,14631842,G,9000,RBC Heritage,Golf,88.86
G,Daniel Berger (14631843),Daniel Berger,14631843,G,8900,RBC Heritage,Golf,81
G,Patrick Reed (14631844),Patrick Reed,14631844,G,8800,RBC Heritage,Golf,82.73
G,Jordan Spieth (14631845),Jordan Spieth,14631845,G,8700,RBC Heritage,Golf,65.75
G,Brooks Koepka (14631846),Brooks Koepka,14631846,G,8600,RBC Heritage,Golf,53.06
G,Dustin Johnson (14631847),Dustin Johnson,14631847,G,8500,RBC Heritage,Golf,73.75
G,Gary Woodland (14631848),Gary Woodland,14631848,G,8400,RBC Heritage,Golf,82.2
G,Matt Kuchar (14631849),Matt Kuchar,14631849,G,8300,RBC Heritage,Golf,65.65
G,Tony Finau (14631850),Tony Finau,14631850,G,8200,RBC Heritage,Golf,73.73
G,Rickie Fowler (14631851),Rickie Fowler,14631851,G,8100,RBC Heritage,Golf,62
