Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
G,Martin Trainer (14631984),Martin Trainer,14631984,G,6000,RBC Heritage,Golf,-0.97035
G,Bo Van Pelt (14631981),Bo Van Pelt,14631981,G,6000,RBC Heritage,Golf,-0.9266
G,Bill Haas (14631983),Bill Haas,14631983,G,6000,RBC Heritage,Golf,-0.73195
G,C.T. Pan (14631915),C.T. Pan,14631915,G,6700,RBC Heritage,Golf,-0.6563
G,Jazz Janewattananond (14631924),Jazz Janewattananond,14631924,G,6600,RBC Heritage,Golf,-0.60795
G,Matt Every (14631970),Matt Every,14631970,G,6100,RBC Heritage,Golf,-0.5911
G,Jim Herman (14631975),Jim Herman,14631975,G,6000,RBC Heritage,Golf,-0.5899
G,Roger Sloan (14631962),Roger Sloan,14631962,G,6100,RBC Heritage,Golf,-0.47335
G,Chris Stroud (14631966),Chris Stroud,14631966,G,6100,RBC Heritage,Golf,-0.4727
G,Ryan Armour (14631980),Ryan Armour,14631980,G,6000,RBC Heritage,Golf,-0.3659
G,Emiliano Grillo (14631906),Emiliano Grillo,14631906,G,6800,RBC Heritage,Golf,-0.32815
G,Patton Kizzire (14631979),Patton Kizzire,14631979,G,6000,RBC Heritage,Golf,-0.30665
G,Aaron Wise (14631935),Aaron Wise,14631935,G,6400,RBC Heritage,Golf,-0.28935
G,J.J. Spaun (14631958),J.J. Spaun,14631958,G,6200,RBC Heritage,Golf,-0.2886
G,Jason Dufner (14631929),Jason Dufner,14631929,G,6500,RBC Heritage,Golf,-0.24185
G,Louis Oosthuizen (14631860),Louis Oosthuizen,14631860,G,7700,RBC Heritage,Golf,-0.24035
G,Si Woo Kim (14631914),Si Woo Kim,14631914,G,6700,RBC Heritage,Golf,-0.22455
G,Jhonattan Vegas (14631919),Jhonattan Vegas,14631919,G,6700,RBC Heritage,Golf,-0.2082
G,Kevin Tway (14631957),Kevin Tway,14631957,G,6200,RBC Heritage,Golf,-0.1635
G,Jimmy Walker (14631930),Jimmy Walker,14631930,G,6500,RBC Heritage,Golf,-0.14885
G,Michael Thompson (14631956),Michael Thompson,14631956,G,6200,RBC Heritage,Golf,-0.14575
G,Kevin Chappell (14631952),Kevin Chappell,14631952,G,6300,RBC Heritage,Golf,-0.1441
G,Andrew Landry (14631907),Andrew Landry,14631907,G,6800,RBC Heritage,Golf,-0.1408
G,Mackenzie Hughes (14631944),Mackenzie Hughes,14631944,G,6300,RBC Heritage,Golf,-0.10715
G,Tyler Duncan (14631942),Tyler Duncan,14631942,G,6400,RBC Heritage,Golf,-0.10205
G,Lucas Glover (14631886),Lucas Glover,14631886,G,7100,RBC Heritage,Golf,-0.09745
G,Kyle Stanley (14631953),Kyle Stanley,14631953,G,6200,RBC Heritage,Golf,-0.09725
G,Sergio Garcia (14631875),Sergio Garcia,14631875,G,7300,RBC Heritage,Golf,-0.07835
G,Brooks Koepka (14631846),Brooks Koepka,14631846,G,8600,RBC Heritage,Golf,-0.0782
G,Matthew Wolff (14631901),Matthew Wolff,14631901,G,6900,RBC Heritage,Golf,-0.07795
G,Michael Gligic (14631986),Michael Gligic,14631986,G,6000,RBC Heritage,Golf,-0.07655
G,Scott Brown (14631960),Scott Brown,14631960,G,6200,RBC Heritage,Golf,-0.07585
G,Troy Merritt (14631941),Troy Merritt,14631941,G,6400,RBC Heritage,Golf,-0.07225
G,Graeme McDowell (14631884),Graeme McDowell,14631884,G,7200,RBC Heritage,Golf,-0.0712
G,Dylan Frittelli (14631917),Dylan Frittelli,14631917,G,6700,RBC Heritage,Golf,-0.0658
