player,SG: Around-the-Green-ROUNDS,SG: Around-the-Green-AVERAGE,SG: Around-the-Green-TOTAL SG:ARG,SG: Around-the-Green-MEASURED ROUNDS,Sand Save Percentage-ROUNDS,Sand Save Percentage-%,Sand Save Percentage-# SAVES,Sand Save Percentage-# BUNKERS,Sand Save Percentage-TOTAL O/U PAR,Sand Saves from < 10 yards-ROUNDS,Sand Saves from < 10 yards-%,Sand Saves from < 10 yards-# OF SAVES,Sand Saves from < 10 yards-# OF BUNKERS,Proximity to Hole from Fringe-ROUNDS,Proximity to Hole from Fringe-AVG DTP,Proximity to Hole from Fringe-TOTAL DISTANCE (FEET),Proximity to Hole from Fringe-# OF SHOTS,Proximity to Hole from Fringe-SCRAMBLING RANK,Proximity to Hole from Rough-ROUNDS,Proximity to Hole from Rough-AVG DTP,Proximity to Hole from Rough-TOTAL DISTANCE (FEET),Proximity to Hole from Rough-# OF SHOTS,Proximity to Hole from Rough-SCRAMBLING RANK,Scrambling > 30 yds (RTP Score)-ROUNDS,Scrambling > 30 yds (RTP Score)-AVG RTP,Scrambling > 30 yds (RTP Score)-TOTAL HOLES,Scrambling > 30 yds (RTP Score)-TOTAL RTP,Proximity to Hole from Sand-ROUNDS,Proximity to Hole from Sand-AVG DTP,Proximity to Hole from Sand-TOTAL DISTANCE (FEET),Proximity to Hole from Sand-# OF SHOTS,Proximity to Hole from Sand-SCRAMBLING RANK,Proximity to Hole (ARG)-ROUNDS,Proximity to Hole (ARG)-AVG DTP,Proximity to Hole (ARG)-TOTAL DISTANCE (FEET),Proximity to Hole (ARG)-# OF SHOTS,Proximity to Hole (ARG)-SCRAMBLING RANK,Sand Saves from 20-30 yards-ROUNDS,Sand Saves from 20-30 yards-%,Sand Saves from 20-30 yards-# OF SAVES,Sand Saves from 20-30 yards-# OF BUNKERS,Scrambling from < 10 yards-ROUNDS,Scrambling from < 10 yards-%,Scrambling from < 10 yards-SUCCESSES,Scrambling from < 10 yards-ATTEMPTS,Scrambling from the Rough-ROUNDS,Scrambling from the Rough-%,Scrambling from the Rough-SUCCESSES,Scrambling from the Rough-ATTEMPTS,Scrambling from > 30 yards-ROUNDS,Scrambling from > 30 yards-%,Scrambling from > 30 yards-SUCCESSES,Scrambling from > 30 yards-ATTEMPTS,Scrambling from the Fringe-ROUNDS,Scrambling from the Fringe-%,Scrambling from the Fringe-SUCCESSES,Scrambling from the Fringe-ATTEMPTS,Proximity to Hole from 30+ yards-ROUNDS,Proximity to Hole from 30+ yards-AVG DTP,Proximity to Hole from 30+ yards-TOTAL DISTANCE (FEET),Proximity to Hole from 30+ yards-# OF SHOTS,Proximity to Hole from 30+ yards-SCRAMBLING RANK,Scrambling Average Distance to Hole-ROUNDS,Scrambling Average Distance to Hole-AVG DTP,Scrambling Average Distance to Hole-TOTAL DISTANCE (FEET),Scrambling Average Distance to Hole-ATTEMPTS,Proximity to Hole from Other Locations-ROUNDS,Proximity to Hole from Other Locations-AVG DTP,Proximity to Hole from Other Locations-TOTAL DISTANCE (FEET),Proximity to Hole from Other Locations-# OF SHOTS,Proximity to Hole from Other Locations-SCRAMBLING RANK,Scrambling 10-20 yds (RTP Score)-ROUNDS,Scrambling 10-20 yds (RTP Score)-AVG RTP,Scrambling 10-20 yds (RTP Score)-TOTAL HOLES,Scrambling 10-20 yds (RTP Score)-TOTAL RTP,Sand Saves from 10-20 yards-ROUNDS,Sand Saves from 10-20 yards-%,Sand Saves from 10-20 yards-# OF SAVES,Sand Saves from 10-20 yards-# OF BUNKERS,Scrambling from 10-20 yards-ROUNDS,Scrambling from 10-20 yards-%,Scrambling from 10-20 yards-SUCCESSES,Scrambling from 10-20 yards-ATTEMPTS,Proximity to Hole from 20-30 yards-ROUNDS,Proximity to Hole from 20-30 yards-AVG DTP,Proximity to Hole from 20-30 yards-TOTAL DISTANCE (FEET),Proximity to Hole from 20-30 yards-# OF SHOTS,Proximity to Hole from 20-30 yards-SCRAMBLING RANK,Scrambling Rough (RTP Score)-ROUNDS,Scrambling Rough (RTP Score)-AVG RTP,Scrambling Rough (RTP Score)-TOTAL HOLES,Scrambling Rough (RTP Score)-TOTAL RTP,Scrambling from Other Locations-ROUNDS,Scrambling from Other Locations-%,Scrambling from Other Locations-SUCCESSES,Scrambling from Other Locations-ATTEMPTS,Scrambling from 20-30 yards-ROUNDS,Scrambling from 20-30 yards-%,Scrambling from 20-30 yards-SUCCESSES,Scrambling from 20-30 yards-ATTEMPTS,Proximity to Hole from 10-20 yards-ROUNDS,Proximity to Hole from 10-20 yards-AVG DTP,Proximity to Hole from 10-20 yards-TOTAL DISTANCE (FEET),Proximity to Hole from 10-20 yards-# OF SHOTS,Proximity to Hole from 10-20 yards-SCRAMBLING RANK,Scrambling 20-30 yds (RTP Score)-ROUNDS,Scrambling 20-30 yds (RTP Score)-AVG RTP,Scrambling 20-30 yds (RTP Score)-TOTAL HOLES,Scrambling 20-30 yds (RTP Score)-TOTAL RTP,Proximity to Hole from < 10 yards-ROUNDS,Proximity to Hole from < 10 yards-AVG DTP,Proximity to Hole from < 10 yards-TOTAL DISTANCE (FEET),Proximity to Hole from < 10 yards-# OF SHOTS,Proximity to Hole from < 10 yards-SCRAMBLING RANK,Scrambling from the Sand-ROUNDS,Scrambling from the Sand-%,Scrambling from the Sand-SUCCESSES,Scrambling from the Sand-ATTEMPTS,Scrambling Fringe (RTP Score)-ROUNDS,Scrambling Fringe (RTP Score)-AVG RTP,Scrambling Fringe (RTP Score)-TOTAL HOLES,Scrambling Fringe (RTP Score)-TOTAL RTP,Scrambling-ROUNDS,Scrambling-%,Scrambling-PAR OR BETTER,Scrambling-MISSED GIR,Sand Saves from 30+ yards-ROUNDS,Sand Saves from 30+ yards-%,Sand Saves from 30+ yards-# OF SAVES,Sand Saves from 30+ yards-# OF BUNKERS
Jason Day,23,1.032,10.317,10,23,61.54,32,52,+3.00,23,.00,0,1,23,"2' 5""",14.250,6,65,23,"9' 5""",215.917,23,65,23,+.700,10,+7.00,23,"6' 2""",117.250,19,65,23,"6' 6""",478.000,74,65,23,28.57,2,7,23,81.82,9,11,23,50.00,18,36,23,40.00,4,10,23,87.50,7,8,23,"11' 3""",168.583,15,65,23,"6' 3""",414.083,66,23,"5' 0""",1.567,26,65,23,+.313,32,+10.00,23,76.92,10,13,23,65.63,21,32,23,"6' 5""",127.500,20,65,23,+.528,36,+19.00,23,73.33,22,30,23,68.75,11,16,23,"5' 0""",150.250,30,65,23,+.375,16,+6.00,23,"3' 6""",31.667,9,65,23,62.50,15,24,23,E,8,E,23,61.81,89,144,23,50.00,2,4
Aaron Baddeley,33,.822,18.905,23,33,60.00,36,60,+12.00,33,50.00,1,2,33,"2' 5""",9.583,4,42,33,"8' 2""",384.167,47,42,33,+.793,29,+23.00,33,"7' 0""",322.083,46,42,33,"7' 0""","1,089.000",156,42,33,46.67,7,15,33,87.50,14,16,33,61.04,47,77,33,31.03,9,29,33,91.67,11,12,33,"13' 0""",363.333,28,42,33,"7' 0""",917.833,131,33,"6' 4""",4.478,59,42,33,+.227,75,+17.00,33,71.43,20,28,33,76.00,57,75,33,"7' 5""",261.000,35,42,33,+.403,77,+31.00,33,60.00,42,70,33,52.38,11,21,33,"5' 5""",422.417,78,42,33,+.476,21,+10.00,33,"2' 10""",42.250,15,42,33,65.96,31,47,33,E,12,E,33,63.77,132,207,33,20.00,1,5
Brandt Snedeker,29,.706,18.359,26,29,54.72,29,53,+12.00,29,100.00,3,3,29,"2' 4""",35.167,15,57,29,"9' 4""",484.417,52,57,29,+.607,28,+17.00,29,"7' 2""",327.833,46,57,29,"7' 1""","1,262.167",178,57,29,42.86,6,14,29,91.18,31,34,29,50.91,28,55,29,53.57,15,28,29,100.00,16,16,29,"9' 6""",332.083,35,57,29,"7' 7""","1,058.333",139,29,"6' 5""",4.977,65,57,29,+.279,61,+17.00,29,65.38,17,26,29,63.93,39,61,29,"9' 3""",368.750,40,57,29,+.491,55,+27.00,29,61.90,39,63,29,51.72,15,29,29,"6' 10""",480.750,70,57,29,+.448,29,+13.00,29,"2' 5""",80.583,33,57,29,64.86,24,37,29,-.250,16,-4.00,29,62.57,107,171,29,40.00,2,5
K.J. Choi,17,.591,5.317,9,17,61.11,11,18,+5.00,17,100.00,1,1,17,"2' 8""",21.417,8,26,17,"5' 5""",97.583,18,26,17,+.500,10,+5.00,17,"8' 10""",105.500,12,26,17,"6' 8""",377.750,57,26,17,66.67,2,3,17,100.00,9,9,17,59.38,19,32,17,50.00,5,10,17,90.00,9,10,17,"7' 10""",93.667,12,26,17,"7' 2""",378.167,53,17,"8' 1""",1.839,19,26,17,+.200,25,+5.00,17,57.14,4,7,17,72.00,18,25,17,"10' 3""",102.583,10,26,17,+.406,32,+13.00,17,54.55,12,22,17,50.00,7,14,17,"6' 4""",157.833,25,26,17,+.500,14,+7.00,17,"2' 4""",23.667,10,26,17,57.14,8,14,17,E,10,E,17,64.89,61,94,17,100.00,1,1
Rob Oppenheim,49,.565,18.638,33,49,52.56,41,78,+26.00,49,100.00,3,3,49,"3' 1""",80.667,26,55,49,"5' 4""",375.750,71,55,49,+.974,39,+38.00,49,"7' 8""",398.500,52,55,49,"6' 0""","1,296.583",216,55,49,45.00,9,20,49,89.58,43,48,49,64.41,76,118,49,17.95,7,39,49,90.91,30,33,49,"9' 11""",207.667,21,55,49,"7' 5""","1,409.583",191,49,"6' 7""",5.300,67,55,49,+.256,86,+22.00,49,65.63,21,32,49,72.09,62,86,49,"8' 3""",437.583,53,55,49,+.322,118,+38.00,49,52.48,53,101,49,53.66,22,41,49,"5' 7""",532.917,95,55,49,+.463,41,+19.00,49,"2' 6""",118.417,47,55,49,60.66,37,61,49,-.030,33,-1.00,49,62.62,196,313,49,.00,0,3
Hideki Matsuyama,42,.549,15.922,29,42,52.17,36,69,+15.00,42,50.00,2,4,42,"2' 9""",37.917,14,71,42,"6' 0""",259.417,43,71,42,+.737,19,+14.00,42,"9' 3""",455.167,49,71,42,"6' 4""","1,100.417",173,71,42,58.82,10,17,42,81.58,31,38,42,63.64,28,44,42,31.58,6,19,42,66.67,10,15,42,"10' 10""",217.417,20,71,42,"7' 1""",980.167,138,42,"5' 2""",4.175,67,71,42,+.418,67,+28.00,42,43.33,13,30,42,58.21,39,67,42,"7' 5""",274.333,37,71,42,+.364,44,+16.00,42,65.00,39,60,42,62.07,18,29,42,"6' 5""",514.000,80,71,42,+.379,29,+11.00,42,"2' 8""",94.667,36,71,42,48.84,21,43,42,+.067,15,+1.00,42,61.40,132,215,42,40.00,2,5
Byeong Hun An,51,.534,19.219,36,51,52.13,49,94,+23.00,51,66.67,4,6,51,"2' 5""",50.500,21,24,51,"7' 2""",665.583,93,24,51,+.806,36,+29.00,51,"8' 4""",485.500,58,24,51,"6' 10""","1,669.333",244,24,51,47.83,11,23,51,89.36,42,47,51,65.93,60,91,51,41.67,15,36,51,87.50,21,24,51,"12' 5""",411.083,33,24,51,"6' 8""","1,267.333",189,51,"6' 6""",5.613,72,24,51,+.326,89,+29.00,51,50.00,16,32,51,65.17,58,89,51,"7' 9""",397.083,51,24,51,+.407,91,+37.00,51,65.28,47,72,51,53.85,21,39,51,"6' 5""",689.250,108,24,51,+.462,39,+18.00,51,"3' 4""",171.917,52,24,51,47.83,22,46,51,-.042,24,-1.00,51,64.98,193,297,51,16.67,1,6
Mackenzie Hughes,34,.526,13.678,26,34,52.31,34,65,+15.00,34,33.33,3,9,34,"5' 0""",25.167,5,152,34,"6' 11""",428.667,62,152,34,+.923,39,+36.00,34,"8' 0""",351.250,44,152,34,"7' 1""","1,101.833",156,152,34,46.67,7,15,34,76.67,23,30,34,56.67,51,90,34,33.33,13,39,34,100.00,10,10,34,"12' 11""",270.833,21,152,34,"8' 8""","1,191.000",137,34,"6' 7""",3.561,45,152,34,+.211,57,+12.00,34,71.43,15,21,34,73.68,42,57,34,"8' 3""",362.750,44,152,34,+.500,90,+45.00,34,55.41,41,74,34,43.59,17,39,34,"5' 7""",344.083,62,152,34,+.667,39,+26.00,34,"4' 3""",124.167,29,152,34,54.55,24,44,34,-.100,10,-1.00,34,57.27,126,220,34,20.00,1,5
Alex Cejka,23,.516,6.197,12,23,50.00,19,38,+10.00,23,.00,0,1,23,"1' 11""",22.667,12,2,23,"3' 11""",86.667,22,2,23,+.750,12,+9.00,23,"10' 7""",169.250,16,2,23,"5' 8""",387.500,68,2,23,33.33,1,3,23,78.95,15,19,23,70.45,31,44,23,33.33,4,12,23,95.45,21,22,23,"9' 0""",108.333,12,2,23,"6' 2""",389.500,63,23,"6' 1""",1.307,18,2,23,+.310,29,+9.00,23,50.00,5,10,23,68.97,20,29,23,"5' 2""",51.917,10,2,23,+.250,44,+11.00,23,65.91,29,44,23,66.67,6,9,23,"5' 11""",172.500,29,2,23,+.444,9,+4.00,23,"3' 3""",54.750,17,2,23,50.00,14,28,23,-.091,22,-2.00,23,68.35,95,139,23,50.00,2,4
Tony Finau,36,.505,11.623,23,36,43.14,22,51,+17.00,36,50.00,1,2,36,"2' 1""",23.000,11,67,36,"7' 7""",439.250,58,67,36,+.563,16,+9.00,36,"10' 11""",348.250,32,67,36,"7' 2""","1,013.417",142,67,36,28.57,2,7,36,94.12,32,34,36,64.71,33,51,36,50.00,8,16,36,100.00,11,11,36,"9' 6""",209.750,22,67,36,"7' 0""",774.833,111,36,"4' 11""",2.435,41,67,36,+.289,45,+13.00,36,55.56,10,18,36,71.11,32,45,36,"11' 4""",352.333,31,67,36,+.353,51,+18.00,36,71.43,35,49,36,34.78,8,23,36,"6' 7""",356.333,54,67,36,+.696,23,+16.00,36,"2' 9""",95.000,35,67,36,36.00,9,25,36,-.273,11,-3.00,36,61.78,118,191,36,25.00,2,8
