player,salary,PTS,Scoring Average Before Cut-AVG,Round 3 Scoring Average-AVG,Scoring Average (Actual)-AVG,SG: Putting-AVERAGE,SG: Total-AVERAGE,SG: Tee-to-Green-AVERAGE,SG: Tee-to-Green-SG:APR,SG: Tee-to-Green-SG:ARG,SG: Off-the-Tee-AVERAGE,SG Magnitude,SG Mag Multiply,Birdie or Better Conversion Percentage-%,One-Putt Percentage-%,Greens in Regulation Percentage-%,Birdie or Better Percentage-%,Birdie to Bogey Ratio-BIRDIE TO BOGEY RATIO,Birdie Average-AVG,Total Driving-ACCURACY RANK,Sand Save Percentage-%,Scrambling-%
Rory McIlroy,11300,98.71,67.86,67.86,68.57,0.042,2.2,2.158,1.008,0.377,0.774,0.7377,73.77,34.08,40.67,71.23,25.4,2.21,4.25,165,50,68.28
Justin Thomas,10900,87.3,68.56,68.43,68.5,0.223,1.996,1.773,1.069,0.273,0.431,0.7105,71.05,37.23,42.36,71.35,27.08,2.29,4.81,173,62.79,65.45
Bryson DeChambeau,10700,80.23,67.88,70.71,68.6,0.502,2.09,1.588,0.397,0.072,1.119,0.75085,75.085,33.25,40.93,70.37,24.63,2.18,4.27,121,63.46,67.5
Jon Rahm,10500,88.86,69.58,66.6,69.05,0.702,1.99,1.288,0.366,0.144,0.777,0.76285,76.285,32.37,38.89,70.96,24.49,2.16,4.23,58,64,64.35
Xander Schauffele,10200,82.15,69.33,67.88,69.15,0.156,1.792,1.636,0.789,0.154,0.694,0.616,61.6,32.37,40.85,73.2,24.02,2.01,4.29,110,55.56,66.46
Collin Morikawa,10000,81.33,68.83,69.42,69.54,-0.226,1.457,1.683,1.234,0.039,0.409,0.4555,45.55,32.23,38.31,70.6,24.07,1.61,4.08,56,55.42,60.24
Sungjae Im,9700,81.07,68.94,69.14,69.16,0.482,1.531,1.049,0.499,0.01,0.54,0.58115,58.115,34.27,42.24,68.68,24.81,1.88,4.4,65,61.54,64.53
Hideki Matsuyama,9500,82.64,69.64,69.1,69.17,-0.535,1.285,1.821,0.887,0.549,0.385,0.3506,35.06,33.09,38.76,71.56,25,1.87,4.31,125,52.17,61.4
Webb Simpson,9000,88.86,68.67,66.2,68,0.513,1.586,1.073,0.836,0.276,-0.039,0.634,63.4,35.82,43.18,71.46,26.52,2.39,4.68,32,58.82,66.37
Daniel Berger,8900,81,69.36,68.33,68.92,0.613,1.59,0.977,0.436,0.192,0.349,0.631,63.1,34.96,42.69,69.15,25,1.92,4.39,44,60,66.82
Patrick Reed,8800,82.73,69.44,69.88,69.35,1.201,1.999,0.798,0.39,0.361,0.047,0.87745,87.745,38.27,46.73,64.38,25.98,1.83,4.56,189,60,65.14
Jordan Spieth,8700,65.75,70.37,70.63,70.65,0.563,0.339,-0.224,-0.451,0.443,-0.215,0.21395,21.395,34.48,43.46,61.93,22.22,1.25,3.91,221,45.45,57.08
Brooks Koepka,8600,53.06,71.33,72.67,71.56,-0.24,-0.09,0.15,-0.33,0.266,0.214,-0.0782,-7.82,28.22,37.96,62.35,19.44,1.02,3.44,217,52.17,55.74
Dustin Johnson,8500,73.75,70.55,69.25,70.56,-0.052,0.366,0.418,0.067,-0.216,0.567,0.09195,9.195,31.25,41.36,64.81,20.99,1.31,3.39,88,58.06,60.53
Gary Woodland,8400,82.2,68.78,68.38,68.88,0.285,1.384,1.099,0.957,-0.18,0.322,0.51105,51.105,32.13,37.58,72.39,24.18,2.14,4.24,53,57.41,65.68
