player,Putting from 5-10'-%,Putting Average-AVG,3-Putts per Round-AVG,SG: Putting-AVERAGE,Average Putting Distance - GIR 1 Putts-AVG,Overall Putting Average-AVG,Birdie or Better Conversion Percentage-%,Average Distance of Birdie putts made-AVG,3-Putt Avoidance-%,2-Putts per Round-AVG,One-Putt Percentage-%,Going for the Green - Hit Green Pct-%,Going for the Green - Birdie or Better-%,Birdie or Better Percentage - Right Rough-%,Birdie or Better Percentage - Fairway-%,Fairway Proximity-AVG,SG: Approach the Green-AVERAGE,GIR Percentage - 100+ yards-%,Average Approach Shot Distance-AVG,Going for the Green-%,GIR Pct - Fairway Bunker-%,Greens in Regulation Percentage-%,Greens in Regulation Percentage-RELATIVE/PAR,GIR Percentage from Fairway-%,Greens or Fringe in Regulation-%,Par Breakers-%,SG: Total-AVERAGE,SG: Total-TOTAL SG:T,SG: Total-TOTAL SG:T2G,SG: Total-TOTAL SG:P,Bogey Average-AVERAGE BOGEYS PER ROUND,Scoring Average Before Cut-AVG,Round 3 Scoring Average-AVG,Birdie or Better Percentage-%,Birdie to Bogey Ratio-BIRDIE TO BOGEY RATIO,Scoring Average (Actual)-AVG,Par 3 Scoring Average-AVG,Round 2 Scoring Average-AVG,Birdie Average-AVG,Bounce Back-%,Fairway Bunker Tendency-%,Right Tendency-%,SG: Tee-to-Green-AVERAGE,SG: Tee-to-Green-SG:OTT,SG: Tee-to-Green-SG:APR,SG: Tee-to-Green-SG:ARG,SG: Off-the-Tee-AVERAGE,Left Rough Tendency-%,Hit Fairway Percentage-%,Hit Fairway Percentage-RELATIVE TO PAR,Driving Distance - All Drives-ALL DRIVES,Right Rough Tendency-%,Ball Striking-VALUE,Ball Striking-TOTAL DRV RANK,Ball Striking-GIR RANK,Left Tendency-%,Rough Tendency-%,Total Driving-ACCURACY RANK,Distance from Center of Fairway-AVG,SG: Around-the-Green-AVERAGE,Sand Save Percentage-%,Sand Saves from 20-30 yards-%,Scrambling from < 10 yards-%,Scrambling from the Rough-%,Scrambling from > 30 yards-%,Scrambling from the Fringe-%,Scrambling 10-20 yds (RTP Score)-AVG RTP,Sand Saves from 10-20 yards-%,Scrambling from 10-20 yards-%,Scrambling Rough (RTP Score)-AVG RTP,Scrambling from Other Locations-%,Scrambling from 20-30 yards-%,Proximity to Hole from < 10 yards-SCRAMBLING RANK,Scrambling from the Sand-ROUNDS,Scrambling from the Sand-%,Scrambling Fringe (RTP Score)-AVG RTP,Scrambling Fringe (RTP Score)-TOTAL RTP,Scrambling-%,Scrambling-PAR OR BETTER,Scrambling-MISSED GIR
Phil Mickelson,52.17,1.749,0.24,0.082,"10' 8""",1.569,33.13,"8' 10""",1.34,10.07,41,30.95,57.14,20,22.22,"34' 11""",-0.528,52.2,165.6,65.57,69.2,64.18,-0.32,77.13,65.97,22.41,-0.074,-1.181,-2.498,1.319,2.45,70.55,71.6,22.41,1.44,70.66,3.05,70.5,3.9,23.68,6,27.3,-0.156,-0.054,-0.528,0.426,-0.054,24.88,51.61,-0.21,294.7,10.14,337,155,182,72.7,35.02,183,"23' 0""",0.426,55.88,50,85.71,60,33.33,85.71,0.32,58.62,68,0.467,65.12,45.45,92,29,57.89,0.143,1,60.43,113,187
Jim Furyk,48.48,1.788,0.52,0.047,"13' 0""",1.688,25.95,"12' 4""",2.9,11.61,31.16,16.13,51.61,23.81,21.52,"30' 11""",0.652,73.87,164.8,49.21,64.3,76.33,-0.23,81.96,80.28,21.26,0.596,11.911,10.97,0.944,2.13,69.93,69,21.26,1.6,69.78,3.1,69,3.78,30,5,58.2,0.549,-0.047,0.652,-0.057,-0.047,5.38,79.21,-0.14,275.3,8.6,86,85,1,41.8,13.98,1,"23' 6""",-0.057,47.37,0,75,51.72,33.33,62.5,0.468,59.09,59.57,0.517,59.38,41.67,211,23,46.43,0.25,2,53.06,52,98
Chad Campbell,56.76,1.803,0.53,0.335,"12' 1""",1.637,26.09,"11' 0""",2.94,10.71,35.95,36.36,72.73,15,21.53,"30' 1""",-0.002,63.46,156.8,28.21,50,67.97,-0.23,73.49,72.22,18.95,0.385,3.852,0.499,3.353,2.53,71.33,69.5,18.95,1.23,70.94,2.99,71.57,3.29,27.66,4.3,53.5,0.05,0.12,-0.002,-0.069,0.12,10.79,69.06,-0.13,272.9,13.67,155,74,81,46.5,24.46,8,"22' 5""",-0.069,53.13,50,100,61.11,23.08,88.89,0.364,88.89,68.18,0.361,53.57,50,79,17,60,0.111,1,61.22,60,98
Stewart Cink,60.55,1.757,0.42,0.42,"11' 0""",1.62,30.34,"10' 1""",2.33,10.52,38.17,27.5,57.5,21.31,20.97,"31' 5""",0.48,63.69,160.8,42.55,53.1,67.92,-0.28,78.57,71.56,21.33,0.515,12.865,2.354,10.511,2.42,69.89,71.5,21.33,1.34,70.97,3.06,68.88,3.81,27.5,9.3,60.5,0.094,-0.141,0.48,-0.245,-0.141,11.95,55.39,-0.12,284.2,19.53,281,199,82,39.5,31.49,184,"21' 8""",-0.245,49.28,38.1,80.77,37.5,25.93,88.89,0.361,60,63.93,0.708,63.49,53.33,175,31,53.06,-0.056,-1,55.87,100,179
Alex Cejka,44.44,1.825,0.48,-0.938,"11' 3""",1.621,23.27,"10' 4""",2.66,10.52,37.2,22.22,55.56,23.53,17.16,"29' 7""",0.29,66.85,164,41.86,42.9,66.43,-0.2,72.27,75.46,17.15,-0.412,-4.938,6.323,-11.261,2.22,70,72,17.15,1.31,70.7,3.06,70.83,3.04,23.08,4.2,54.2,0.527,-0.279,0.29,0.516,-0.279,10.78,70.66,-0.08,272.4,9.58,244,115,129,45.8,20.36,13,"26' 9""",0.516,50,33.33,78.95,70.45,33.33,95.45,0.31,50,68.97,0.25,65.91,66.67,2,23,50,-0.091,-2,68.35,95,139
Charles Howell III,55.56,1.767,0.55,0.072,"10' 9""",1.638,29.7,"9' 9""",3.07,10.53,37.59,22.54,56.34,7.79,23.84,"35' 4""",-0.122,62.76,167.4,67.96,58.1,70.57,-0.27,86.3,72.62,21.51,0.095,2.668,0.648,2.022,2.38,70.52,68.55,21.51,1.49,69.98,3.05,69.38,3.79,21.74,8,59.3,0.023,-0.183,-0.122,0.327,-0.183,15.03,52.07,-0.29,294.1,22.54,143,115,28,40.7,37.56,178,"25' 10""",0.327,52.46,37.5,70.37,54.17,26.47,69.23,0.306,63.16,70.97,0.486,60,48.72,121,47,50,0.308,4,58.63,146,249
Vaughn Taylor,57.03,1.71,0.35,0.457,"11' 1""",1.562,33.81,"10' 5""",1.93,9.73,42.29,23.91,54.35,14.58,24.09,"30' 9""",-0.084,58.13,162.7,43.81,48.5,64.17,-0.33,71.67,67.71,23.02,0.208,6.646,-7.985,14.633,2.43,70.27,69.82,23.02,1.44,70.29,2.99,70.21,4.08,20.61,7.4,49.7,-0.25,-0.022,-0.084,-0.144,-0.022,12.08,66,-0.14,275.6,12.3,307,124,183,50.3,24.38,17,"23' 0""",-0.144,47.66,52.63,82.22,59.55,33.33,86.96,0.351,48.65,62.89,0.438,56.98,41.86,133,49,48.48,0.087,2,58.23,184,316
Ben Crane,56.67,1.77,0.24,-0.29,"8' 5""",1.631,25.81,"8' 5""",1.31,10.94,37.58,0,45.45,8.7,18.18,"31' 8""",0.142,70.56,158.8,25,50,70.92,-0.24,75.46,72.69,18.63,-0.697,-8.362,-4.879,-3.482,2.12,70.27,68.67,18.63,1.54,70.06,3.03,70.6,3.35,9.38,4.8,52.8,-0.407,-0.315,0.142,-0.233,-0.315,12.5,68.45,-0.11,272.9,11.31,109,91,18,47.2,23.81,16,"26' 0""",-0.233,38.1,16.67,72.73,71.43,30,83.33,0.313,60,68.75,0.257,64.52,41.67,66,17,33.33,0.167,1,61.8,55,89
Rory Sabbatini,58.73,1.784,0.63,-0.037,"9' 0""",1.623,29.29,"8' 7""",3.5,10.15,39.01,24.56,57.89,11.48,22.16,"34' 2""",-0.136,59.18,167.2,61.96,44.8,67.75,-0.26,80.4,69.81,20.77,0.267,8.007,9.111,-1.101,2.59,69.96,69.8,20.77,1.29,70.26,3.06,70.08,3.63,25.2,7,63.4,0.304,0.209,-0.136,0.23,0.209,9.35,64.27,-0.13,281,16.31,280,193,87,36.6,25.66,96,"23' 8""",0.23,65.52,71.43,71.43,50.85,36,94.74,0.321,61.29,71.43,0.542,54.95,50.94,112,46,67.24,-0.053,-1,59.18,158,267
Bo Van Pelt,51.95,1.828,0.86,-0.46,"8' 10""",1.671,26.65,"8' 10""",4.76,10.5,36.11,6.45,51.61,12.5,20.1,"34' 3""",-1.121,52.59,161,53.45,25,63.29,-0.22,73.46,62.5,17.46,-2.573,-41.175,-33.811,-7.362,3.18,73.13,72.75,17.46,0.81,73.04,3.12,72.82,3.14,22.45,5.4,50.5,-2.113,-0.859,-1.121,-0.133,-0.859,15.77,52.25,-0.1,282.2,19.82,419,221,198,49.5,35.59,197,"25' 2""",-0.133,25,22.22,78.26,53.97,14.81,87.5,0.435,21.43,54.35,0.54,48.61,42.86,223,28,27.27,0.125,2,49.73,92,185
