player,Driving Pct 300-320 (Measured)-ROUNDS,Driving Pct 300-320 (Measured)-%,Driving Pct 300-320 (Measured)-TOTAL DRIVES FOR 300-320,Driving Pct 300-320 (Measured)-TOTAL DRVS - OVERALL,Driving Pct 300-320 (Measured)-RELATIVE TO PAR,Right Tendency-EVENTS,Right Tendency-%,Right Tendency-NUMBER OF TIMES,Right Tendency-ATTEMPTS,Right Tendency-AVG RTP SCORE,Percentage of Yardage covered by Tee Shots-ROUNDS,Percentage of Yardage covered by Tee Shots-AVG (%),Percentage of Yardage covered by Tee Shots-TOTAL SHOT DISTANCE,Percentage of Yardage covered by Tee Shots-TOTAL DISTANCE,Driving Pct 320+ (All Drives)-ROUNDS,Driving Pct 320+ (All Drives)-%,Driving Pct 320+ (All Drives)-TOTAL DRIVES FOR 320+,Driving Pct 320+ (All Drives)-TOTAL DRIVES - OVERALL,Driving Pct 320+ (All Drives)-RELATIVE TO PAR,Missed Fairway Percent - Other-ROUNDS,Missed Fairway Percent - Other-%,Missed Fairway Percent - Other-TOTAL MISSED,Missed Fairway Percent - Other-TOTAL FWYS,Missed Fairway Percent - Other-RELATIVE TO PAR,Driving Pct 300-320 (All Drives)-ROUNDS,Driving Pct 300-320 (All Drives)-%,Driving Pct 300-320 (All Drives)-TOTAL DRIVES FOR 300-320,Driving Pct 300-320 (All Drives)-TOTAL DRIVES - OVERALL,Driving Pct 300-320 (All Drives)-RELATIVE TO PAR,Percentage of Yardage covered by Tee Shots - Par 5's-ROUNDS,Percentage of Yardage covered by Tee Shots - Par 5's-AVG (%),Percentage of Yardage covered by Tee Shots - Par 5's-TOTAL SHOT DISTANCE,Percentage of Yardage covered by Tee Shots - Par 5's-TOTAL DISTANCE,Driving Pct 240-260 (All Drives)-ROUNDS,Driving Pct 240-260 (All Drives)-%,Driving Pct 240-260 (All Drives)-TOTAL DRIVES FOR 240-260,Driving Pct 240-260 (All Drives)-TOTAL DRIVES - OVERALL,Driving Pct 240-260 (All Drives)-RELATIVE TO PAR,Driving Pct 260-280 (All Drives)-ROUNDS,Driving Pct 260-280 (All Drives)-%,Driving Pct 260-280 (All Drives)-TOTAL DRIVES FOR 260-280,Driving Pct 260-280 (All Drives)-TOTAL DRIVES - OVERALL,Driving Pct 260-280 (All Drives)-RELATIVE TO PAR,Percentage of Yardage covered by Tee Shots - Par 4's-ROUNDS,Percentage of Yardage covered by Tee Shots - Par 4's-AVG (%),Percentage of Yardage covered by Tee Shots - Par 4's-TOTAL SHOT DISTANCE,Percentage of Yardage covered by Tee Shots - Par 4's-TOTAL DISTANCE,Driving Pct <= 240 (All Drives)-ROUNDS,Driving Pct <= 240 (All Drives)-%,Driving Pct <= 240 (All Drives)-TOTAL DRIVES FOR <= 240,Driving Pct <= 240 (All Drives)-TOTAL DRIVES - OVERALL,Driving Pct <= 240 (All Drives)-RELATIVE TO PAR,SG: Off-the-Tee-ROUNDS,SG: Off-the-Tee-AVERAGE,SG: Off-the-Tee-TOTAL SG:OTT,SG: Off-the-Tee-MEASURED ROUNDS,Total Driving-EVENTS,Total Driving-TOTAL,Total Driving-DISTANCE RANK,Total Driving-ACCURACY RANK,Driving Pct 260-280 (Measured)-ROUNDS,Driving Pct 260-280 (Measured)-%,Driving Pct 260-280 (Measured)-TOTAL DRIVES FOR 260-280,Driving Pct 260-280 (Measured)-TOTAL DRVS - OVERALL,Driving Pct 260-280 (Measured)-RELATIVE TO PAR,Longest Drives-ROUNDS,Longest Drives-DISTANCE,Longest Drives-TOURNAMENT,Longest Drives-ROUND,Longest Drives-HOLE,Longest Drives-COURSE,Driving Accuracy Percentage-ROUNDS,Driving Accuracy Percentage-%,Driving Accuracy Percentage-FAIRWAYS HIT,Driving Accuracy Percentage-POSSIBLE FAIRWAYS,Driving Pct 280-300 (All Drives)-ROUNDS,Driving Pct 280-300 (All Drives)-%,Driving Pct 280-300 (All Drives)-TOTAL DRIVES FOR 280-300,Driving Pct 280-300 (All Drives)-TOTAL DRIVES - OVERALL,Driving Pct 280-300 (All Drives)-RELATIVE TO PAR,Right Rough Tendency-ROUNDS,Right Rough Tendency-%,Right Rough Tendency-TOTAL RIGHT ROUGH,Right Rough Tendency-POSSIBLE FWYS,Right Rough Tendency-RELATIVE TO PAR,Hit Fairway Percentage-ROUNDS,Hit Fairway Percentage-%,Hit Fairway Percentage-FAIRWAYS HIT,Hit Fairway Percentage-POSSIBLE FAIRWAYS,Hit Fairway Percentage-RELATIVE TO PAR,Distance from Center of Fairway-EVENTS,Distance from Center of Fairway-AVG,Distance from Center of Fairway-TOTAL DISTANCE (FEET),Distance from Center of Fairway-TOTAL STROKES,Driving Distance - All Drives-ROUNDS,Driving Distance - All Drives-ALL DRIVES,Driving Distance - All Drives-TOTAL DISTANCE,Driving Distance - All Drives-# OF DRIVES,Driving Pct 320+ (Measured)-ROUNDS,Driving Pct 320+ (Measured)-%,Driving Pct 320+ (Measured)-TOTAL DRIVES FOR 320+,Driving Pct 320+ (Measured)-TOTAL DRVS - OVERALL,Driving Pct 320+ (Measured)-RELATIVE TO PAR,Good Drive Percentage-ROUNDS,Good Drive Percentage-%,Good Drive Percentage-# HIT,Good Drive Percentage-TOTAL ATTEMPTS,Driving Pct 300+ (Measured)-ROUNDS,Driving Pct 300+ (Measured)-%,Driving Pct 300+ (Measured)-TOTAL DRIVES FOR 300+,Driving Pct 300+ (Measured)-TOTAL DRVS - OVERALL,Driving Pct 300+ (Measured)-RELATIVE TO PAR,Fairway Bunker Tendency-ROUNDS,Fairway Bunker Tendency-%,Fairway Bunker Tendency-TOTAL FAIRWAY BUNKERS,Fairway Bunker Tendency-POSSIBLE FWYS,Fairway Bunker Tendency-RELATIVE TO PAR,SG: Tee-to-Green-ROUNDS,SG: Tee-to-Green-AVERAGE,SG: Tee-to-Green-SG:OTT,SG: Tee-to-Green-SG:APR,SG: Tee-to-Green-SG:ARG,SG: Tee-to-Green-MEASURED ROUNDS,Ball Striking-ROUNDS,Ball Striking-VALUE,Ball Striking-TOTAL DRV RANK,Ball Striking-GIR RANK,Right Rough Tendency (RTP Score)-ROUNDS,Right Rough Tendency (RTP Score)-RTP SCORE,Driving Pct 300+ (All Drives)-ROUNDS,Driving Pct 300+ (All Drives)-%,Driving Pct 300+ (All Drives)-TOTAL DRIVES FOR 300+,Driving Pct 300+ (All Drives)-TOTAL DRIVES - OVERALL,Driving Pct 300+ (All Drives)-RELATIVE TO PAR,Driving Pct <= 240 (Measured)-ROUNDS,Driving Pct <= 240 (Measured)-%,Driving Pct <= 240 (Measured)-TOTAL DRIVES FOR <= 240,Driving Pct <= 240 (Measured)-TOTAL DRVS - OVERALL,Driving Pct <= 240 (Measured)-RELATIVE TO PAR,Driving Pct 280-300 (Measured)-ROUNDS,Driving Pct 280-300 (Measured)-%,Driving Pct 280-300 (Measured)-TOTAL DRIVES FOR 280-300,Driving Pct 280-300 (Measured)-TOTAL DRVS - OVERALL,Driving Pct 280-300 (Measured)-RELATIVE TO PAR,Left Rough Tendency (RTP Score)-ROUNDS,Left Rough Tendency (RTP Score)-RTP SCORE,Driving Distance-ROUNDS,Driving Distance-AVG,Driving Distance-TOTAL DISTANCE,Driving Distance-TOTAL DRIVES,Driving Pct 240-260 (Measured)-ROUNDS,Driving Pct 240-260 (Measured)-%,Driving Pct 240-260 (Measured)-TOTAL DRIVES FOR 240-260,Driving Pct 240-260 (Measured)-TOTAL DRVS - OVERALL,Driving Pct 240-260 (Measured)-RELATIVE TO PAR,Distance from Edge of Fairway-EVENTS,Distance from Edge of Fairway-AVG,Distance from Edge of Fairway-TOTAL DISTANCE (FEET),Distance from Edge of Fairway-TOTAL STROKES,Left Tendency-EVENTS,Left Tendency-%,Left Tendency-NUMBER OF TIMES,Left Tendency-ATTEMPTS,Left Tendency-AVG RTP SCORE,Rough Tendency-ROUNDS,Rough Tendency-%,Rough Tendency-TOTAL ROUGH,Rough Tendency-POSSIBLE FWYS,Rough Tendency-RELATIVE TO PAR,Left Rough Tendency-ROUNDS,Left Rough Tendency-%,Left Rough Tendency-TOTAL LEFT ROUGH,Left Rough Tendency-POSSIBLE FWYS,Left Rough Tendency-RELATIVE TO PAR
Nick Watney,35,50.00,35,70,-0.49,12,52.3,80,153,+1.63,35,63.12,"1,079,628","171,034",35,11.64,44,378,-0.250,35,4.29,16,373,+0.63,35,25.13,95,378,-0.147,35,54.27,"251,616","46,365",35,13.76,52,378,+0.077,35,19.58,74,378,+0.014,35,66.42,"828,012","124,669",35,7.94,30,378,+0.067,35,-.133,-3.581,27,13,217,59,158,35,8.57,6,70,-0.17,35,353,Safeway Open,2,1,552,35,57.87,283,489,35,21.96,83,378,-0.060,35,16.62,62,373,+0.08,35,57.91,216,373,-0.19,12,"26' 1""","5,576.083",214,35,285.6,"107,963",378,36,11.11,8,72,-0.38,35,82.62,404,489,35,61.43,43,70,-0.47,35,4.8,18,76,-0.167,35,.433,-.133,.292,.274,27,35,113,88,25,35,+.081,35,36.77,139,378,-0.180,35,1.43,1,70,E,35,28.57,20,70,+0.15,36,+.048,35,302.1,"21,146",70,35,.00,0,70,E,12,"31' 3""","4,659.250",149,12,47.7,73,153,+0.41,35,32.98,123,373,+0.73,35,16.35,61,373,+0.07
Kevin Chappell,31,50.00,31,62,-0.48,10,55.3,73,132,+2.74,31,63.89,"898,170","140,574",31,14.29,44,308,-0.091,31,5.59,17,304,+1.06,31,29.55,91,308,-0.121,31,53.55,"222,012","41,458",31,11.69,36,308,+0.250,31,20.45,63,308,+0.016,31,68.22,"676,158","99,116",31,4.22,13,308,+0.385,31,-.205,-4.521,22,11,271,79,192,31,14.52,9,62,-0.33,31,362,The Greenbrier,2,6,771,31,54.73,237,433,31,19.81,61,308,E,31,17.11,52,304,+0.10,31,55.26,168,304,-0.18,10,"24' 11""","4,158.500",167,31,291.7,"89,829",308,33,12.12,8,66,-0.25,31,77.83,337,433,31,62.90,39,62,-0.44,31,6.9,21,89,+0.381,31,-.497,-.205,-.222,-.069,22,31,365,174,191,31,+.096,31,43.83,135,308,-0.111,31,1.61,1,62,E,31,16.13,10,62,-0.10,33,-.021,31,300.0,"18,599",62,31,4.84,3,62,+0.33,10,"30' 0""","3,809.500",127,10,44.7,59,132,+0.85,31,32.24,98,304,+0.31,31,15.13,46,304,-0.04
Ryan Palmer,36,48.21,27,56,-0.15,10,53.7,66,123,+1.97,36,64.24,"1,122,164","174,686",36,14.14,54,382,-0.222,36,3.66,14,382,+0.21,36,31.41,120,382,-0.108,36,54.01,"234,936","43,502",36,7.07,27,382,+0.185,36,15.71,60,382,+0.033,36,67.63,"887,228","131,184",36,5.24,20,382,E,36,.570,15.388,27,11,168,101,67,36,16.07,9,56,-0.44,36,378,Sentry,4,17,656,36,65.28,329,504,36,26.44,101,382,E,36,10.47,40,382,+0.20,36,66.49,254,382,-0.15,10,"24' 11""","6,161.917",247,36,293.8,"112,238",382,40,10.94,7,64,-0.71,36,85.91,433,504,36,60.71,34,56,-0.26,36,7.9,30,128,+0.233,36,.395,.570,.100,-.275,27,36,101,24,77,36,+.200,36,45.55,174,382,-0.144,36,5.36,3,56,-0.33,36,16.07,9,56,+0.11,40,-.020,36,299.1,"16,747",56,36,1.79,1,56,E,10,"26' 7""","3,163.917",119,10,46.3,57,123,+0.88,36,21.99,84,382,+1.19,36,11.52,44,382,+0.05
J.B. Holmes,24,47.73,21,44,+0.05,7,39.6,42,106,+0.71,24,63.95,"799,735","125,056",24,18.89,51,270,-0.118,24,5.20,14,269,+0.29,24,32.96,89,270,+0.011,24,53.25,"191,196","35,907",24,8.89,24,270,E,24,10.37,28,270,+0.036,24,68.26,"608,539","89,149",24,5.19,14,270,-0.071,24,.197,3.749,19,7,182,66,116,24,9.09,4,44,E,24,373,Sentry,1,17,656,24,60.77,206,339,24,23.70,64,270,-0.172,24,14.13,38,269,-0.03,24,58.74,158,269,-0.16,7,"32' 11""","5,037.583",153,24,296.3,"79,989",270,24,15.91,7,44,-0.43,24,81.71,277,339,24,63.64,28,44,-0.07,24,5.2,14,57,+0.286,24,-.151,.197,-.334,-.014,19,24,282,59,223,24,-.026,24,51.85,140,270,-0.036,24,4.55,2,44,-0.50,24,18.18,8,44,-0.13,24,+.022,24,300.5,"13,221",44,24,4.55,2,44,E,7,"34' 7""","3,630.583",105,7,60.4,64,106,+0.78,24,30.86,83,269,E,24,16.73,45,269,+0.02
Sangmoon Bae,18,47.22,17,36,-0.41,7,36.8,21,57,+0.95,18,63.12,"361,832","57,329",18,6.35,8,126,-0.250,18,4.03,5,124,+1.40,18,26.98,34,126,-0.235,18,52.08,"89,315","17,148",18,6.35,8,126,-0.125,18,20.63,26,126,+0.231,18,67.82,"272,517","40,181",18,6.35,8,126,+0.375,18,-.664,-5.975,9,7,274,109,165,18,25.00,9,36,-0.56,18,345,The Greenbrier,2,6,771,18,57.14,144,252,18,33.33,42,126,+0.024,18,14.52,18,124,E,18,53.23,66,124,-0.23,7,"21' 4""","1,407.083",66,18,287.2,"36,192",126,18,8.33,3,36,E,18,81.35,205,252,18,55.56,20,36,-0.35,18,6.5,8,33,+0.500,18,-1.717,-.664,-.584,-.468,9,18,377,187,190,18,E,18,33.33,42,126,-0.238,18,2.78,1,36,E,18,16.67,6,36,-0.33,18,E,18,296.2,"10,664",36,18,.00,0,36,E,7,"25' 0""","1,374.083",55,7,63.2,36,57,+2.50,18,36.29,45,124,E,18,21.77,27,124,E
Sam Burns,34,47.06,32,68,-0.28,11,62.2,122,196,+1.15,34,64.45,"1,287,773","199,799",34,19.35,84,434,-0.202,34,3.01,13,432,+0.62,34,35.94,156,434,-0.186,34,54.89,"308,444","56,189",34,6.68,29,434,+0.310,34,13.59,59,434,+0.119,34,68.19,"979,329","143,610",34,5.30,23,434,+0.261,34,.433,13.417,31,12,219,16,203,34,4.41,3,68,-0.33,34,359,Sony Open,1,13,006,34,52.52,250,476,34,19.12,83,434,+0.072,34,19.68,85,432,+0.09,34,53.24,230,432,-0.24,11,"26' 11""","6,010.417",223,34,296.8,"128,790",434,36,27.78,20,72,-0.35,34,79.41,378,476,34,76.47,52,68,-0.31,34,9.7,42,178,+0.262,34,-.716,.433,-.384,-.764,31,34,297,95,202,34,+.094,34,55.30,240,434,-0.192,34,.00,0,68,E,34,17.65,12,68,+0.25,36,+.143,34,310.8,"21,131",68,34,1.47,1,68,E,11,"27' 10""","5,407.583",194,11,37.8,74,196,+2.97,34,34.03,147,432,+1.22,34,14.35,62,432,+0.16
Carlos Ortiz,48,46.88,45,96,-0.40,14,52.3,136,260,+0.88,48,64.19,"1,691,142","263,461",48,18.12,104,574,-0.317,48,3.85,22,572,+0.64,48,31.71,182,574,-0.159,48,53.94,"403,421","74,788",48,8.36,48,574,+0.125,48,11.67,67,574,+0.090,48,68.25,"1,287,721","188,673",48,6.45,37,574,+0.135,48,.030,1.237,41,15,260,75,185,48,9.38,9,96,-0.67,48,367,WGC-Mexico,1,15,240,48,54.02,363,672,48,23.69,136,574,-0.081,48,18.71,107,572,+0.01,48,52.80,302,572,-0.23,14,"24' 0""","6,988.833",291,48,294.7,"169,175",574,52,15.38,16,104,-0.31,48,81.85,550,672,48,63.54,61,96,-0.38,48,6.1,35,152,+0.086,48,.739,.030,.294,.415,41,48,207,147,60,48,+.009,48,49.83,286,574,-0.217,48,1.04,1,96,E,48,22.92,22,96,-0.27,52,-.073,48,302.7,"29,063",96,48,3.13,3,96,+0.33,14,"29' 0""","7,286.583",251,14,47.7,124,260,+0.08,48,37.24,213,572,-0.28,48,18.53,106,572,-0.07
Xander Schauffele,34,46.15,24,52,-0.21,9,53.5,68,127,-1.18,34,65.19,"1,065,778","163,491",34,25.99,92,354,-0.326,34,3.43,12,350,-0.58,34,30.51,108,354,-0.139,34,54.70,"248,381","45,408",34,9.04,32,354,-0.031,34,10.17,36,354,E,34,69.22,"817,397","118,083",34,4.24,15,354,-0.467,34,.694,17.340,25,10,135,27,108,34,7.69,4,52,-0.25,34,387,WGC-Mexico,4,11,240,34,61.13,291,476,34,20.06,71,354,-0.042,34,15.43,54,350,-0.13,34,60.00,210,350,-0.24,9,"28' 7""","5,781.583",202,34,301.1,"106,604",354,38,21.67,13,60,-0.08,34,86.97,414,476,34,71.15,37,52,-0.16,34,6.3,22,94,+0.182,34,1.636,.694,.789,.154,25,34,27,23,4,34,-.130,34,56.50,200,354,-0.225,34,1.92,1,52,E,34,15.38,8,52,-0.25,38,+.017,34,307.0,"15,962",52,34,3.85,2,52,E,9,"26' 7""","3,430.833",129,9,46.5,59,127,+0.51,34,30.29,106,350,-0.47,34,14.86,52,350,+0.04
Luke List,41,45.95,34,74,-0.32,13,57.7,101,175,+0.59,41,64.68,"1,288,728","199,250",41,16.59,72,434,-0.306,41,4.22,18,427,+0.56,41,32.72,142,434,-0.204,41,55.18,"304,529","55,190",41,6.68,29,434,+0.172,41,13.13,57,434,+0.105,41,68.32,"984,199","144,060",41,2.76,12,434,+0.583,41,.251,7.778,31,14,210,55,155,41,4.05,3,74,+0.33,41,369,Honda Classic,1,9,734,41,56.97,327,574,41,28.11,122,434,-0.049,41,17.33,74,427,+0.01,41,57.38,245,427,-0.24,13,"25' 1""","5,968.000",238,41,297.0,"128,918",434,43,15.38,12,78,-0.67,41,81.53,468,574,41,62.16,46,74,-0.41,41,10.1,43,185,+0.023,41,.649,.251,.331,.067,31,41,169,102,67,41,+.014,41,49.31,214,434,-0.238,41,1.35,1,74,+1.00,41,28.38,21,74,-0.33,43,+.020,41,302.7,"22,401",74,41,4.05,3,74,+1.67,13,"32' 7""","5,634.667",173,13,42.3,74,175,+1.35,41,28.34,121,427,+0.25,41,11.01,47,427,+0.04
Sebastian Cappelen,43,45.35,39,86,-0.33,13,61.1,99,162,+1.21,43,64.09,"1,031,044","160,878",43,15.43,54,350,-0.241,43,2.92,10,343,+0.30,43,32.29,113,350,-0.115,43,53.57,"256,329","47,845",43,8.00,28,350,+0.179,43,10.86,38,350,+0.289,43,68.54,"774,715","113,033",43,4.86,17,350,+0.353,43,.304,7.602,25,13,251,41,210,43,5.81,5,86,E,43,357,The Greenbrier,1,6,771,43,51.75,311,601,43,28.57,100,350,-0.060,43,23.62,81,343,+0.06,43,51.90,178,343,-0.21,13,"21' 0""","3,677.750",175,43,294.6,"103,104",350,43,18.60,16,86,-0.56,43,79.70,479,601,43,63.95,55,86,-0.40,43,7.6,26,109,+0.231,43,-.550,.304,-.770,-.084,25,43,340,160,180,43,+.062,43,47.71,167,350,-0.156,43,2.33,2,86,+1.50,43,24.42,21,86,-0.10,43,+.188,43,303.3,"26,083",86,43,3.49,3,86,E,13,"32' 7""","5,337.750",164,13,38.9,63,162,+1.75,43,37.61,129,343,+1.09,43,13.99,48,343,+0.19
