player,YTD Par or Better Streak-NUMBER OF ROUNDS,Consecutive Fairways Hit-BEST STREAK,Consecutive Fairways Hit-CURRENT STREAK,Best YTD Streak w/o a 3-Putt-BEST STREAK,Best YTD Streak w/o a 3-Putt-CURRENT STREAK,YTD Rounds in 60's Streak-BEST STREAK,YTD Sub-Par Rounds Streak-VALUE,Consecutive Birdies/Eagles streak-NUMBER OF HOLES,Consecutive Holes Below Par-NUMBER OF HOLES,Best Sub-Par Rounds Streak-CAREER BEST STREAK,Best Sub-Par Rounds Streak-BEST YTD STREAK,Best Sub-Par Rounds Streak-CURRENT STREAK,Current Par or Better Streak-NUMBER OF ROUNDS,Current Streak without a 3-Putt-VALUE,Consecutive Par 4 Birdies-NUMBER OF HOLES,Consecutive Sand Saves-STREAK,Consecutive Sand Saves-CURRENT STREAK,Consecutive Sand Saves-ROUND,Consecutive Sand Saves-HOLE,Consecutive Sand Saves-YEAR/TOURN#,Consecutive Cuts-TOTAL,Consecutive Cuts-START TOURNAMENT ID,Consecutive Birdies Streak-NUMBER OF HOLES,Consecutive GIR-STREAK,Consecutive GIR-CURRENT STREAK,Consecutive GIR-ROUND,Consecutive GIR-HOLE,Consecutive GIR-YEAR/TOURN#,Consecutive Par 5 Birdies-NUMBER OF HOLES,Consecutive Par 3 Birdies-NUMBER OF HOLES,Best Rounds in 60's Streak-CAREER BEST STREAK,Best Rounds in 60's Streak-BEST YTD STREAK,Best Rounds in 60's Streak-CURRENT STREAK,Best YTD 1-Putt or Better Streak-VALUE,YTD Consecutive Cuts-NUMBER OF CUTS
Daniel Berger,28,19,0,120,52,7,7,2,3,11,7,,28,52,3,9,1,4,6,2020150,7,"2,020,070",3,18,5,2,4,2020395,7,3,7,7,,6,7
Viktor Hovland,22,20,2,198,2,6,6,2,3,22,6,,4,2,3,4,0,4,15,2020010,2,"2,020,240",3,25,4,1,8,2020210,7,2,19,6,,6,2
Ian Poulter,16,8,0,111,111,2,2,2,3,9,2,,4,111,3,5,5,2,11,2020395,9,"2,019,430",3,10,6,1,12,2020070,3,2,8,2,,6,6
Peter Uihlein,16,8,0,185,30,5,10,2,4,10,10,,5,30,2,8,0,2,14,2020050,2,"2,020,210",4,10,6,2,12,2020110,5,2,5,5,,7,2
Gary Woodland,16,17,2,110,38,5,8,2,4,9,8,,5,38,3,9,9,4,3,2020230,4,"2,020,180",4,15,5,3,14,2020060,9,3,7,5,,5,4
Rory Sabbatini,15,13,1,84,59,4,5,1,3,11,5,,4,59,2,7,7,1,16,2020395,4,"2,020,200",3,21,0,4,13,2020070,5,2,8,4,,5,4
Patrick Cantlay,15,14,1,75,41,5,6,3,3,9,6,,2,41,4,3,0,4,9,2020040,14,"2,019,320",3,27,1,4,14,2020030,7,2,7,5,,4,5
Talor Gooch,14,10,0,216,5,4,5,4,6,9,5,,6,5,6,8,0,3,9,2020240,13,"2,020,030",6,18,3,3,11,2020110,5,2,9,4,,6,13
Ryan Brehm,12,10,0,80,59,3,5,3,4,9,5,,2,59,2,4,1,4,9,2020170,4,"2,020,160",4,15,5,3,10,2020110,6,4,3,3,,7,4
Xander Schauffele,11,13,0,157,1,6,8,2,4,15,8,,4,1,4,7,4,1,12,2020180,5,"2,020,180",4,17,3,3,11,2020220,6,2,9,6,,6,5
Matt Jones,10,8,1,96,6,4,5,2,5,10,5,,4,6,3,8,0,4,18,2020060,3,"2,020,230",5,15,5,2,2,2020040,9,3,8,4,,7,3
Sungjae Im,10,12,5,140,7,5,6,2,4,8,6,,4,7,3,9,2,3,5,2020230,4,"2,020,220",4,10,3,2,11,2020060,5,4,5,5,,7,4
Collin Morikawa,10,25,6,78,6,4,6,2,4,11,6,,4,6,5,9,2,3,2,2020150,22,"2,018,220",4,12,1,3,3,2020040,10,2,5,4,,8,12
Keegan Bradley,9,12,0,103,3,4,4,1,4,10,4,,4,3,4,5,4,4,8,2020240,2,"2,020,240",4,13,0,3,11,2020180,6,2,8,4,,8,2
Patrick Reed,9,9,2,93,93,4,6,1,4,15,6,,5,93,3,6,4,2,5,2020070,5,"2,020,170",4,13,4,2,16,2020170,4,2,7,4,,8,5
Patrick Rodgers,9,11,0,222,27,3,5,2,4,16,5,,4,27,4,7,0,1,18,2020240,5,"2,020,200",4,14,0,1,2,2020180,8,3,6,3,,6,5
Joel Dahmen,8,17,0,221,101,4,6,5,5,10,6,,5,101,8,4,1,4,14,2020240,7,"2,020,150",4,15,0,4,12,2020170,3,2,8,4,,7,7
Abraham Ancer,8,11,0,157,115,6,8,2,4,8,8,,4,115,4,4,0,4,9,2020240,10,"2,020,060",4,18,1,3,5,2020220,8,3,7,6,,7,10
Bryson DeChambeau,8,13,0,131,19,4,8,2,4,17,8,,7,19,4,6,0,1,18,2020030,7,"2,020,030",4,20,1,4,2,2020040,9,2,8,4,,6,7
Will Gordon,8,7,1,129,7,2,7,2,5,7,7,,7,7,3,5,5,1,18,2020210,2,"2,020,170",5,9,5,3,15,2020210,4,2,2,2,,8,2
Billy Horschel,7,19,2,121,27,4,4,4,4,12,4,,4,27,3,6,1,2,17,2020230,6,"2,020,170",4,25,3,2,17,2020220,4,3,12,4,,8,6
Bud Cauley,7,13,9,195,195,5,5,2,4,13,5,,3,195,3,9,5,4,18,2020050,5,"2,020,180",4,13,3,2,7,2020150,8,3,12,5,,7,5
Matthew Fitzpatrick,7,8,6,160,11,5,7,3,4,8,7,,5,11,3,7,0,3,15,2020220,19,"2,019,190",4,12,1,1,17,2020220,7,3,5,5,,10,7
Paul Casey,6,10,0,79,7,4,6,3,3,13,6,,4,7,4,2,0,2,17,2020200,14,"2,019,360",3,17,1,1,9,2020190,9,1,7,4,,7,7
Jason Kokrak,5,7,2,103,7,2,4,2,3,12,4,,4,7,3,9,0,1,10,2020395,3,"2,020,220",3,14,3,4,1,2020395,4,2,6,2,,6,3
Andrew Landry,5,13,4,80,80,5,5,2,4,10,5,,4,80,3,8,0,4,17,2020200,2,"2,020,200",4,15,6,2,9,2020150,9,2,10,5,,10,2
Ben Martin,5,12,1,94,49,3,4,1,4,11,4,,4,49,2,5,0,2,10,2020190,2,"2,020,190",4,14,0,2,10,2020110,3,2,9,3,,6,2
Shawn Stefani,5,13,0,110,49,5,5,1,3,15,5,,4,49,3,4,3,1,17,2020110,6,"2,020,020",3,18,4,1,18,2020110,6,1,8,5,,6,6
Russell Henley,5,10,0,121,73,5,5,3,3,10,5,,4,73,3,3,0,1,18,2020110,2,"2,020,200",3,24,3,3,14,2020020,4,2,9,5,,6,2
Brooks Koepka,5,8,0,89,89,4,5,1,3,11,5,,5,89,2,4,1,4,6,2020240,2,"2,020,240",3,8,1,3,13,2020395,6,1,10,4,,5,2
Seamus Power,4,9,0,74,7,3,3,3,3,13,3,,3,7,3,2,1,4,11,2020190,2,"2,020,190",3,20,10,1,14,2020110,6,4,5,3,,6,2
Zander Lombard,3,10,2,45,8,2,3,1,3,3,3,,3,8,2,2,0,1,2,2020220,2,"2,020,090",3,10,0,3,14,2020220,4,2,2,2,,6,2
