Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
G,Bryson DeChambeau (14695907),Bryson DeChambeau,14695907,G,11700,Rocket Mortgage Classic,Golf,83.42
G,Webb Simpson (14695908),Webb Simpson,14695908,G,11000,Rocket Mortgage Classic,Golf,95.88
G,Tyrrell Hatton (14695909),Tyrrell Hatton,14695909,G,10700,Rocket Mortgage Classic,Golf,97.5
G,Patrick Reed (14695910),Patrick Reed,14695910,G,10500,Rocket Mortgage Classic,Golf,78.92
G,Hideki Matsuyama (14695911),Hideki Matsuyama,14695911,G,10200,Rocket Mortgage Classic,Golf,77.88
G,Viktor Hovland (14695912),Viktor Hovland,14695912,G,10000,Rocket Mortgage Classic,Golf,67.32
G,Sungjae Im (14695913),Sungjae Im,14695913,G,9800,Rocket Mortgage Classic,Golf,76.79
G,Rickie Fowler (14695914),Rickie Fowler,14695914,G,9500,Rocket Mortgage Classic,Golf,58.89
G,Tony Finau (14695915),Tony Finau,14695915,G,9300,Rocket Mortgage Classic,Golf,71.92
G,Bubba Watson (14695916),Bubba Watson,14695916,G,9200,Rocket Mortgage Classic,Golf,63.54
G,Kevin Na (14695917),Kevin Na,14695917,G,9100,Rocket Mortgage Classic,Golf,66.93
G,Scottie Scheffler (14695918),Scottie Scheffler,14695918,G,9000,Rocket Mortgage Classic,Golf,76.43
G,Rory Sabbatini (14695920),Rory Sabbatini,14695920,G,8800,Rocket Mortgage Classic,Golf,60.93
G,J.T. Poston (14695921),J.T. Poston,14695921,G,8700,Rocket Mortgage Classic,Golf,65.94
G,Jason Day (14695922),Jason Day,14695922,G,8600,Rocket Mortgage Classic,Golf,52.15
G,Doc Redman (14695923),Doc Redman,14695923,G,8500,Rocket Mortgage Classic,Golf,64.42
G,Lucas Glover (14695924),Lucas Glover,14695924,G,8400,Rocket Mortgage Classic,Golf,60.97
G,Christiaan Bezuidenhout (14695925),Christiaan Bezuidenhout,14695925,G,8300,Rocket Mortgage Classic,Golf,68.6
G,Adam Hadwin (14695926),Adam Hadwin,14695926,G,8200,Rocket Mortgage Classic,Golf,76.4
G,Rafa Cabrera Bello (14695927),Rafa Cabrera Bello,14695927,G,8100,Rocket Mortgage Classic,Golf,58.73
G,Kurt Kitayama (14702199),Kurt Kitayama,14702199,G,8100,Rocket Mortgage Classic,Golf,64.57
G,Erik Van Rooyen (14695928),Erik Van Rooyen,14695928,G,8000,Rocket Mortgage Classic,Golf,61.35
G,Brandt Snedeker (14695929),Brandt Snedeker,14695929,G,7900,Rocket Mortgage Classic,Golf,64.45
G,Brian Harman (14695930),Brian Harman,14695930,G,7900,Rocket Mortgage Classic,Golf,69.23
G,Alex Noren (14695931),Alex Noren,14695931,G,7800,Rocket Mortgage Classic,Golf,70.4
G,Brendon Todd (14695932),Brendon Todd,14695932,G,7800,Rocket Mortgage Classic,Golf,65.71
G,Kevin Kisner (14695933),Kevin Kisner,14695933,G,7700,Rocket Mortgage Classic,Golf,57.57
G,Branden Grace (14695934),Branden Grace,14695934,G,7700,Rocket Mortgage Classic,Golf,59.04
G,Maverick McNealy (14695935),Maverick McNealy,14695935,G,7600,Rocket Mortgage Classic,Golf,69.06
G,Harold Varner III (14695936),Harold Varner III,14695936,G,7600,Rocket Mortgage Classic,Golf,63.09
G,Scott Stallings (14695937),Scott Stallings,14695937,G,7500,Rocket Mortgage Classic,Golf,66.04
G,Joseph Bramlett (14695938),Joseph Bramlett,14695938,G,7500,Rocket Mortgage Classic,Golf,57.35
G,Brian Stuard (14695939),Brian Stuard,14695939,G,7400,Rocket Mortgage Classic,Golf,62.08
G,Patrick Rodgers (14695940),Patrick Rodgers,14695940,G,7400,Rocket Mortgage Classic,Golf,59.2
G,Wes Roach (14695941),Wes Roach,14695941,G,7300,Rocket Mortgage Classic,Golf,58.46
