,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
0,G,Bryson DeChambeau (14695907),Bryson DeChambeau,14695907,G,11700,Rocket Mortgage Classic,Golf,-0.42705
1,G,Webb Simpson (14695908),Webb Simpson,14695908,G,11000,Rocket Mortgage Classic,Golf,0.578075
2,G,Tyrrell Hatton (14695909),Tyrrell Hatton,14695909,G,10700,Rocket Mortgage Classic,Golf,0.39135
3,G,Patrick Reed (14695910),Patrick Reed,14695910,G,10500,Rocket Mortgage Classic,Golf,-0.40275000000000005
4,G,Hideki Matsuyama (14695911),Hideki Matsuyama,14695911,G,10200,Rocket Mortgage Classic,Golf,-0.26165
5,G,Viktor Hovland (14695912),Viktor Hovland,14695912,G,10000,Rocket Mortgage Classic,Golf,0.13879999999999998
6,G,Sungjae Im (14695913),Sungjae Im,14695913,G,9800,Rocket Mortgage Classic,Golf,0.18162500000000004
7,G,Rickie Fowler (14695914),Rickie Fowler,14695914,G,9500,Rocket Mortgage Classic,Golf,-0.016800000000000002
8,G,Tony Finau (14695915),Tony Finau,14695915,G,9300,Rocket Mortgage Classic,Golf,0.12282499999999999
9,G,Bubba Watson (14695916),Bubba Watson,14695916,G,9200,Rocket Mortgage Classic,Golf,0.7708999999999999
10,G,Kevin Na (14695917),Kevin Na,14695917,G,9100,Rocket Mortgage Classic,Golf,-0.32747499999999996
11,G,Scottie Scheffler (14695918),Scottie Scheffler,14695918,G,9000,Rocket Mortgage Classic,Golf,-0.11544999999999997
12,G,Rory Sabbatini (14695920),Rory Sabbatini,14695920,G,8800,Rocket Mortgage Classic,Golf,-0.2158
13,G,J.T. Poston (14695921),J.T. Poston,14695921,G,8700,Rocket Mortgage Classic,Golf,-0.50905
14,G,Jason Day (14695922),Jason Day,14695922,G,8600,Rocket Mortgage Classic,Golf,0.950125
15,G,Doc Redman (14695923),Doc Redman,14695923,G,8500,Rocket Mortgage Classic,Golf,0.030349999999999995
16,G,Lucas Glover (14695924),Lucas Glover,14695924,G,8400,Rocket Mortgage Classic,Golf,-0.44299999999999995
17,G,Christiaan Bezuidenhout (14695925),Christiaan Bezuidenhout,14695925,G,8300,Rocket Mortgage Classic,Golf,-0.8799999999999999
18,G,Adam Hadwin (14695926),Adam Hadwin,14695926,G,8200,Rocket Mortgage Classic,Golf,0.13902499999999998
19,G,Rafa Cabrera Bello (14695927),Rafa Cabrera Bello,14695927,G,8100,Rocket Mortgage Classic,Golf,0.0015749999999999987
20,G,Kurt Kitayama (14702199),Kurt Kitayama,14702199,G,8100,Rocket Mortgage Classic,Golf,-0.49449999999999994
21,G,Erik Van Rooyen (14695928),Erik Van Rooyen,14695928,G,8000,Rocket Mortgage Classic,Golf,0.3528
22,G,Brandt Snedeker (14695929),Brandt Snedeker,14695929,G,7900,Rocket Mortgage Classic,Golf,-0.3277
23,G,Brian Harman (14695930),Brian Harman,14695930,G,7900,Rocket Mortgage Classic,Golf,0.396425
24,G,Alex Noren (14695931),Alex Noren,14695931,G,7800,Rocket Mortgage Classic,Golf,0.044975
25,G,Brendon Todd (14695932),Brendon Todd,14695932,G,7800,Rocket Mortgage Classic,Golf,0.1828
26,G,Kevin Kisner (14695933),Kevin Kisner,14695933,G,7700,Rocket Mortgage Classic,Golf,-0.0008999999999999841
27,G,Branden Grace (14695934),Branden Grace,14695934,G,7700,Rocket Mortgage Classic,Golf,-0.034249999999999975
28,G,Maverick McNealy (14695935),Maverick McNealy,14695935,G,7600,Rocket Mortgage Classic,Golf,-0.3268
29,G,Harold Varner III (14695936),Harold Varner III,14695936,G,7600,Rocket Mortgage Classic,Golf,-0.16599999999999998
30,G,Scott Stallings (14695937),Scott Stallings,14695937,G,7500,Rocket Mortgage Classic,Golf,0.026975000000000013
31,G,Joseph Bramlett (14695938),Joseph Bramlett,14695938,G,7500,Rocket Mortgage Classic,Golf,-0.459925
32,G,Brian Stuard (14695939),Brian Stuard,14695939,G,7400,Rocket Mortgage Classic,Golf,-0.2701
33,G,Patrick Rodgers (14695940),Patrick Rodgers,14695940,G,7400,Rocket Mortgage Classic,Golf,-0.062249999999999986
34,G,Wes Roach (14695941),Wes Roach,14695941,G,7300,Rocket Mortgage Classic,Golf,-0.071925
35,G,Keegan Bradley (14695942),Keegan Bradley,14695942,G,7300,Rocket Mortgage Classic,Golf,-0.285275
36,G,Will Gordon (14695943),Will Gordon,14695943,G,7300,Rocket Mortgage Classic,Golf,-0.17145
37,G,Si Woo Kim (14695944),Si Woo Kim,14695944,G,7200,Rocket Mortgage Classic,Golf,0.09165000000000001
38,G,Mark Hubbard (14695945),Mark Hubbard,14695945,G,7200,Rocket Mortgage Classic,Golf,-0.22819999999999996
39,G,Chris Kirk (14695946),Chris Kirk,14695946,G,7200,Rocket Mortgage Classic,Golf,0.15605000000000002
40,G,Emiliano Grillo (14695947),Emiliano Grillo,14695947,G,7100,Rocket Mortgage Classic,Golf,0.18289999999999998
41,G,Kyle Stanley (14695948),Kyle Stanley,14695948,G,7100,Rocket Mortgage Classic,Golf,-0.7685249999999999
42,G,Sebastian Munoz (14695949),Sebastian Munoz,14695949,G,7100,Rocket Mortgage Classic,Golf,-0.308825
43,G,Michael Thompson (14695950),Michael Thompson,14695950,G,7100,Rocket Mortgage Classic,Golf,0.38969999999999994
44,G,Talor Gooch (14695951),Talor Gooch,14695951,G,7000,Rocket Mortgage Classic,Golf,0.0023249999999999937
45,G,Tyler Duncan (14695952),Tyler Duncan,14695952,G,7000,Rocket Mortgage Classic,Golf,0.07485
46,G,Peter Uihlein (14695953),Peter Uihlein,14695953,G,7000,Rocket Mortgage Classic,Golf,-0.10337500000000002
47,G,Tom Hoge (14695954),Tom Hoge,14695954,G,7000,Rocket Mortgage Classic,Golf,0.09337500000000001
48,G,Charl Schwartzel (14695955),Charl Schwartzel,14695955,G,6900,Rocket Mortgage Classic,Golf,-0.322775
49,G,Patton Kizzire (14695956),Patton Kizzire,14695956,G,6900,Rocket Mortgage Classic,Golf,0.14302499999999999
50,G,Seung-Yul Noh (14695957),Seung-Yul Noh,14695957,G,6900,Rocket Mortgage Classic,Golf,0.47787499999999994
51,G,Ryan Armour (14695958),Ryan Armour,14695958,G,6900,Rocket Mortgage Classic,Golf,0.0011500000000000121
52,G,Sam Burns (14695959),Sam Burns,14695959,G,6900,Rocket Mortgage Classic,Golf,0.121875
53,G,Tom Lewis (14695960),Tom Lewis,14695960,G,6800,Rocket Mortgage Classic,Golf,-0.144275
54,G,Lanto Griffin (14695961),Lanto Griffin,14695961,G,6800,Rocket Mortgage Classic,Golf,-0.24439999999999998
55,G,Jason Dufner (14695962),Jason Dufner,14695962,G,6800,Rocket Mortgage Classic,Golf,-0.0421
56,G,Chesson Hadley (14695963),Chesson Hadley,14695963,G,6800,Rocket Mortgage Classic,Golf,-0.3685999999999999
57,G,Matthew Wolff (14695964),Matthew Wolff,14695964,G,6800,Rocket Mortgage Classic,Golf,0.25339999999999996
58,G,Harry Higgs (14695965),Harry Higgs,14695965,G,6800,Rocket Mortgage Classic,Golf,-0.11552500000000004
59,G,Adam Schenk (14695966),Adam Schenk,14695966,G,6700,Rocket Mortgage Classic,Golf,0.010174999999999998
60,G,Andrew Putnam (14695967),Andrew Putnam,14695967,G,6700,Rocket Mortgage Classic,Golf,0.21552499999999997
