SG: Putting-ROUNDS,SG: Putting-AVERAGE,SG: Putting-TOTAL SG:PUTTING,SG: Putting-MEASURED ROUNDS,SG: Approach the Green-ROUNDS,SG: Approach the Green-AVERAGE,SG: Approach the Green-TOTAL SG:APP,SG: Approach the Green-MEASURED ROUNDS,SG: Total-ROUNDS,SG: Total-AVERAGE,SG: Total-TOTAL SG:T,SG: Total-TOTAL SG:T2G,SG: Total-TOTAL SG:P,SG: Total-MEASURED ROUNDS,SG: Tee-to-Green-ROUNDS,SG: Tee-to-Green-AVERAGE,SG: Tee-to-Green-SG:OTT,SG: Tee-to-Green-SG:APR,SG: Tee-to-Green-SG:ARG,SG: Tee-to-Green-MEASURED ROUNDS,SG: Off-the-Tee-ROUNDS,SG: Off-the-Tee-AVERAGE,SG: Off-the-Tee-TOTAL SG:OTT,SG: Off-the-Tee-MEASURED ROUNDS,SG: Around-the-Green-ROUNDS,SG: Around-the-Green-AVERAGE,SG: Around-the-Green-TOTAL SG:ARG,SG: Around-the-Green-MEASURED ROUNDS,Name
34,.959,17.266,18,34,-.525,-9.443,18,34,-.617,-11.107,-28.371,17.266,18,34,-1.576,-.123,-.525,-.929,18,34,-.123,-2.205,18,34,-.929,-16.724,18,Kristoffer Ventura
55,1.259,54.157,43,55,-.507,-21.780,43,55,.370,15.904,-38.251,54.157,43,55,-.890,-.207,-.507,-.176,43,55,-.207,-8.908,43,55,-.176,-7.565,43,Denny McCarthy
26,.750,17.242,23,26,-.472,-10.863,23,26,.154,3.534,-13.706,17.242,23,26,-.596,-.202,-.472,.079,23,26,-.202,-4.656,23,26,.079,1.812,23,John Huh
26,.695,17.385,25,26,.937,23.432,25,26,1.883,47.085,29.702,17.385,25,26,1.188,.003,.937,.248,25,26,.003,.069,25,26,.248,6.197,25,Webb Simpson
40,.961,29.798,31,40,.288,8.941,31,40,1.687,52.302,22.505,29.798,31,40,.726,.121,.288,.317,31,40,.121,3.741,31,40,.317,9.821,31,Patrick Reed
34,.978,19.562,20,34,-.156,-3.115,20,34,-.251,-5.029,-24.589,19.562,20,34,-1.229,-.912,-.156,-.162,20,34,-.912,-18.235,20,34,-.162,-3.241,20,Andrew Putnam
19,.288,2.880,10,19,.012,.124,10,19,-.494,-4.941,-7.822,2.880,10,19,-.782,-.484,.012,-.310,10,19,-.484,-4.845,10,19,-.310,-3.100,10,Johnson Wagner
58,.559,22.372,40,58,-.110,-4.398,40,58,.744,29.750,7.379,22.372,40,58,.184,.214,-.110,.081,40,58,.214,8.541,40,58,.081,3.236,40,Maverick McNealy
19,.388,4.264,11,19,-.329,-3.616,11,19,-.431,-4.737,-9.002,4.264,11,19,-.818,-.840,-.329,.351,11,19,-.840,-9.242,11,19,.351,3.858,11,K.J. Choi
48,.840,30.241,36,48,.368,13.235,36,48,1.104,39.741,9.503,30.241,36,48,.264,-.345,.368,.241,36,48,-.345,-12.403,36,48,.241,8.668,36,Kevin Na
34,.551,14.870,27,34,-.119,-3.224,27,34,.393,10.615,-4.255,14.870,27,34,-.158,-.123,-.119,.085,27,34,-.123,-3.320,27,34,.085,2.288,27,Richy Werenski
56,.750,30.765,41,56,-.252,-10.339,41,56,.921,37.748,6.984,30.765,41,56,.170,.151,-.252,.271,41,56,.151,6.191,41,56,.271,11.130,41,J.T. Poston
38,.557,21.155,38,38,.486,18.462,38,38,2.126,80.776,59.623,21.155,38,38,1.569,1.055,.486,.029,38,38,1.055,40.073,38,38,.029,1.084,38,Bryson DeChambeau
46,.422,13.927,33,46,-.477,-15.748,33,46,-.533,-17.584,-31.508,13.927,33,46,-.955,-.195,-.477,-.283,33,46,-.195,-6.439,33,46,-.283,-9.323,33,Troy Merritt
22,.264,2.904,11,22,-.167,-1.836,11,22,.051,.556,-2.349,2.904,11,22,-.214,-.345,-.167,.298,11,22,-.345,-3.794,11,22,.298,3.282,11,Seamus Power
32,.016,.323,20,32,.219,4.377,20,32,-.706,-14.117,-14.439,.323,20,32,-.722,-.329,.219,-.612,20,32,-.329,-6.575,20,32,-.612,-12.242,20,Michael Gellerman
32,.427,8.549,20,32,-.176,-3.524,20,32,-.922,-18.432,-26.981,8.549,20,32,-1.349,-.918,-.176,-.255,20,32,-.918,-18.365,20,32,-.255,-5.091,20,Dominic Bozzelli
20,1.086,13.033,12,20,1.194,14.333,12,20,3.034,36.402,23.369,13.033,12,20,1.947,.400,1.194,.353,12,20,.400,4.795,12,20,.353,4.240,12,Tyrrell Hatton
40,.392,12.146,31,40,.798,24.751,31,40,1.025,31.783,19.638,12.146,31,40,.633,.033,.798,-.198,31,40,.033,1.008,31,40,-.198,-6.124,31,Gary Woodland
41,.354,11.680,33,41,.009,.287,33,41,.366,12.084,.405,11.680,33,41,.012,-.108,.009,.112,33,41,-.108,-3.574,33,41,.112,3.692,33,Bronson Burgoon
