Name,Score,SG: Total-AVERAGE,SG: Putting-AVERAGE,SG: Around-the-Green-AVERAGE,SG: Approach the Green-AVERAGE,SG: Tee-to-Green-AVERAGE,SG: Off-the-Tee-AVERAGE,Position,Name + ID,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
Kristoffer Ventura,-0.53685,-0.617,0.959,-0.929,-0.525,-1.576,-0.123,G,Kristoffer Ventura (14695999),14695999,G,6400,Rocket Mortgage Classic,Golf,49.04
Webb Simpson,0.52205,1.883,0.695,0.248,0.937,1.188,0.003,G,Webb Simpson (14695908),14695908,G,11000,Rocket Mortgage Classic,Golf,95.88
Patrick Reed,0.417,1.687,0.961,0.317,0.288,0.726,0.121,G,Patrick Reed (14695910),14695910,G,10500,Rocket Mortgage Classic,Golf,78.92
Andrew Putnam,-0.08035,-0.251,0.978,-0.162,-0.156,-1.229,-0.912,G,Andrew Putnam (14695967),14695967,G,6700,Rocket Mortgage Classic,Golf,52.68
Johnson Wagner,-0.1721,-0.494,0.288,-0.31,0.012,-0.782,-0.484,G,Johnson Wagner (14696040),14696040,G,6100,Rocket Mortgage Classic,Golf,42.07
Maverick McNealy,0.11675,0.744,0.559,0.081,-0.11,0.184,0.214,G,Maverick McNealy (14695935),14695935,G,7600,Rocket Mortgage Classic,Golf,69.06
Kevin Na,0.33445,1.104,0.84,0.241,0.368,0.264,-0.345,G,Kevin Na (14695917),14695917,G,9100,Rocket Mortgage Classic,Golf,66.93
Richy Werenski,0.08135,0.393,0.551,0.085,-0.119,-0.158,-0.123,G,Richy Werenski (14695985),14695985,G,6500,Rocket Mortgage Classic,Golf,60.1
J.T. Poston,0.20105,0.921,0.75,0.271,-0.252,0.17,0.151,G,J.T. Poston (14695921),14695921,G,8700,Rocket Mortgage Classic,Golf,65.94
Bryson DeChambeau,0.35075,2.126,0.557,0.029,0.486,1.569,1.055,G,Bryson DeChambeau (14695907),14695907,G,11700,Rocket Mortgage Classic,Golf,83.42
Troy Merritt,-0.25495,-0.533,0.422,-0.283,-0.477,-0.955,-0.195,G,Troy Merritt (14695998),14695998,G,6400,Rocket Mortgage Classic,Golf,54.93
Seamus Power,0.1189,0.051,0.264,0.298,-0.167,-0.214,-0.345,G,Seamus Power (14696051),14696051,G,6000,Rocket Mortgage Classic,Golf,59.14
Michael Gellerman,-0.3014,-0.706,0.016,-0.612,0.219,-0.722,-0.329,G,Michael Gellerman (14696052),14696052,G,6000,Rocket Mortgage Classic,Golf,45.54
Dominic Bozzelli,-0.2208,-0.922,0.427,-0.255,-0.176,-1.349,-0.918,G,Dominic Bozzelli (14696049),14696049,G,6000,Rocket Mortgage Classic,Golf,54.25
Tyrrell Hatton,0.75525,3.034,1.086,0.353,1.194,1.947,0.4,G,Tyrrell Hatton (14695909),14695909,G,10700,Rocket Mortgage Classic,Golf,97.5
Bronson Burgoon,0.10655,0.366,0.354,0.112,0.009,0.012,-0.108,G,Bronson Burgoon (14696020),14696020,G,6200,Rocket Mortgage Classic,Golf,53.68
Peter Malnati,-0.12355,-0.589,0.517,0.055,-0.576,-1.106,-0.586,G,Peter Malnati (14696002),14696002,G,6300,Rocket Mortgage Classic,Golf,46.12
John Senden,-0.6271,-2.182,0.009,-0.599,-0.699,-2.191,-0.893,G,John Senden (14696041),14696041,G,6000,Rocket Mortgage Classic,Golf,37.05
Will Gordon,-0.03125,0.365,0.149,-0.13,-0.084,0.217,0.431,G,Will Gordon (14695943),14695943,G,7300,Rocket Mortgage Classic,Golf,65.86
Brendon Todd,0.0178,0.224,0.31,-0.007,-0.085,-0.086,0.007,G,Brendon Todd (14695932),14695932,G,7800,Rocket Mortgage Classic,Golf,65.71
Patton Kizzire,-0.15635,-0.711,0.552,-0.026,-0.506,-1.263,-0.73,G,Patton Kizzire (14695956),14695956,G,6900,Rocket Mortgage Classic,Golf,46.47
Adam Hadwin,0.26875,1.183,0.516,0.066,0.475,0.667,0.125,G,Adam Hadwin (14695926),14695926,G,8200,Rocket Mortgage Classic,Golf,76.4
Beau Hossler,-0.18205,-0.317,0.643,-0.135,-0.609,-0.96,-0.215,G,Beau Hossler (14695968),14695968,G,6700,Rocket Mortgage Classic,Golf,57.72
Scottie Scheffler,0.11605,0.843,-0.024,-0.053,0.284,0.867,0.636,G,Scottie Scheffler (14695918),14695918,G,9000,Rocket Mortgage Classic,Golf,76.43
Chase Seiffert,-0.09565,0.199,0.31,-0.321,0.067,-0.111,0.143,G,Chase Seiffert (14696022),14696022,G,6200,Rocket Mortgage Classic,Golf,58.31
Christiaan Bezuidenhout,0.23695,0.855,0.656,-0.066,0.742,0.199,-0.478,G,Christiaan Bezuidenhout (14695925),14695925,G,8300,Rocket Mortgage Classic,Golf,68.6
Pat Perez,-0.0146,0.053,0.186,-0.204,0.313,-0.133,-0.242,G,Pat Perez (14695987),14695987,G,6500,Rocket Mortgage Classic,Golf,60.17
Brandt Snedeker,0.35585,0.632,0.594,0.716,-0.296,0.038,-0.383,G,Brandt Snedeker (14695929),14695929,G,7900,Rocket Mortgage Classic,Golf,64.45
Zac Blair,-0.0765,-0.419,0.371,0.101,-0.493,-0.79,-0.398,G,Zac Blair (14696021),14696021,G,6200,Rocket Mortgage Classic,Golf,51.94
Jamie Lovemark,0.0753,-0.126,0.273,0.115,0.113,-0.4,-0.628,G,Jamie Lovemark (14695994),14695994,G,6400,Rocket Mortgage Classic,Golf,42.25
Patrick Rodgers,0.03115,0.592,0.72,0.031,-0.39,-0.128,0.231,G,Patrick Rodgers (14695940),14695940,G,7400,Rocket Mortgage Classic,Golf,59.2
Rhein Gibson,-0.0302,-0.457,0.653,0.236,-0.616,-1.111,-0.732,G,Rhein Gibson (14696027),14696027,G,6100,Rocket Mortgage Classic,Golf,58.42
Vincent Whaley,-0.2299,-0.591,0.111,-0.185,-0.465,-0.703,-0.053,G,Vincent Whaley (14696008),14696008,G,6300,Rocket Mortgage Classic,Golf,46.86
Scott Harrington,-0.1016,-0.182,-0.061,0.001,-0.404,-0.121,0.282,G,Scott Harrington (14696025),14696025,G,6100,Rocket Mortgage Classic,Golf,50.84
David Hearn,-0.08065,-0.174,0.052,-0.133,-0.03,-0.226,-0.063,G,David Hearn (14696042),14696042,G,6000,Rocket Mortgage Classic,Golf,50.18
Brandon Hagy,-0.16185,-0.599,0.057,-0.016,-0.488,-0.656,-0.152,G,Brandon Hagy (14695986),14695986,G,6500,Rocket Mortgage Classic,Golf,47
Si Woo Kim,0.0449,-0.402,-0.238,0.388,-0.388,-0.164,-0.164,G,Si Woo Kim (14695944),14695944,G,7200,Rocket Mortgage Classic,Golf,44.5
Xinjun Zhang,0.09845,0.207,-0.051,0.105,0.165,0.258,-0.011,G,Xinjun Zhang (14696038),14696038,G,6100,Rocket Mortgage Classic,Golf,58.97
Kevin Chappell,-0.1317,-0.384,0.227,-0.105,-0.287,-0.611,-0.219,G,Kevin Chappell (14695976),14695976,G,6600,Rocket Mortgage Classic,Golf,50.79
Cameron Davis,0.14185,0.162,-0.4,0.266,0.13,0.562,0.165,G,Cameron Davis (14695990),14695990,G,6500,Rocket Mortgage Classic,Golf,56.57
Rickie Fowler,0.1068,0.581,0.26,-0.034,0.255,0.321,0.1,G,Rickie Fowler (14695914),14695914,G,9500,Rocket Mortgage Classic,Golf,58.89
Nelson Ledesma,-0.5626,-1.744,0.257,-0.572,-0.718,-2.001,-0.712,G,Nelson Ledesma (14696034),14696034,G,6100,Rocket Mortgage Classic,Golf,41.65
Wyndham Clark,-0.04325,-0.269,0.49,0.163,-0.571,-0.759,-0.351,G,Wyndham Clark (14695979),14695979,G,6600,Rocket Mortgage Classic,Golf,52.78
Doc Redman,0.0299,0.627,-0.133,-0.365,0.69,0.761,0.436,G,Doc Redman (14695923),14695923,G,8500,Rocket Mortgage Classic,Golf,64.42
Joseph Bramlett,-0.01455,-0.173,-0.212,-0.067,0.218,0.038,-0.113,G,Joseph Bramlett (14695938),14695938,G,7500,Rocket Mortgage Classic,Golf,57.35
Talor Gooch,0.11315,0.398,0.273,0.087,0.103,0.125,-0.066,G,Talor Gooch (14695951),14695951,G,7000,Rocket Mortgage Classic,Golf,62.88
Charl Schwartzel,0.0953,0.295,0.745,-0.036,0.224,-0.45,-0.639,G,Charl Schwartzel (14695955),14695955,G,6900,Rocket Mortgage Classic,Golf,46.88
Harry Higgs,-0.01865,0.388,0.272,-0.041,-0.263,0.116,0.42,G,Harry Higgs (14695965),14695965,G,6800,Rocket Mortgage Classic,Golf,64.53
Hank Lebioda,-0.2544,-0.995,-0.319,-0.12,-0.425,-0.676,-0.13,G,Hank Lebioda (14696017),14696017,G,6200,Rocket Mortgage Classic,Golf,48.03
Lanto Griffin,0.13755,0.637,0.387,0.102,0.043,0.25,0.105,G,Lanto Griffin (14695961),14695961,G,6800,Rocket Mortgage Classic,Golf,65.4
Viktor Hovland,-0.01605,0.83,-0.018,-0.563,0.776,0.848,0.635,G,Viktor Hovland (14695912),14695912,G,10000,Rocket Mortgage Classic,Golf,67.32
Aaron Wise,-0.07165,-0.473,-0.651,-0.013,0.07,0.179,0.121,G,Aaron Wise (14695970),14695970,G,6700,Rocket Mortgage Classic,Golf,50.08
Mark Hubbard,0.1015,0.595,0.453,-0.006,0.11,0.142,0.039,G,Mark Hubbard (14695945),14695945,G,7200,Rocket Mortgage Classic,Golf,67.5
Michael Thompson,-0.05045,-0.094,0.317,-0.006,-0.271,-0.411,-0.134,G,Michael Thompson (14695950),14695950,G,7100,Rocket Mortgage Classic,Golf,51.38
Wes Roach,-0.1612,-0.92,-0.622,0.186,-0.609,-0.298,0.125,G,Wes Roach (14695941),14695941,G,7300,Rocket Mortgage Classic,Golf,58.46
Robby Shelton,-0.1619,-0.243,-0.019,-0.349,0.102,-0.224,0.023,G,Robby Shelton (14696060),14696060,G,6000,Rocket Mortgage Classic,Golf,52.03
Doug Ghim,-0.22515,-0.998,-0.247,-0.003,-0.558,-0.751,-0.191,G,Doug Ghim (14696058),14696058,G,6000,Rocket Mortgage Classic,Golf,41
Chesson Hadley,0.0692,0.358,-0.204,-0.146,0.546,0.563,0.163,G,Chesson Hadley (14695963),14695963,G,6800,Rocket Mortgage Classic,Golf,61.61
Jimmy Walker,0.0284,-0.497,-0.314,-0.033,0.543,-0.183,-0.692,G,Jimmy Walker (14695974),14695974,G,6600,Rocket Mortgage Classic,Golf,46.04
Rafa Cabrera Bello,-0.03245,0.183,0.284,-0.115,-0.066,-0.101,0.08,G,Rafa Cabrera Bello (14695927),14695927,G,8100,Rocket Mortgage Classic,Golf,58.73
Luke List,0.0766,0.221,-0.381,0.046,0.264,0.602,0.293,G,Luke List (14695972),14695972,G,6700,Rocket Mortgage Classic,Golf,53.2
Nate Lashley,0.0479,0.077,0.294,0.11,-0.12,-0.217,-0.207,G,Nate Lashley (14695977),14695977,G,6600,Rocket Mortgage Classic,Golf,48.25
Brian Gay,-0.07365,-0.359,0.211,-0.06,-0.106,-0.571,-0.405,G,Brian Gay (14696032),14696032,G,6100,Rocket Mortgage Classic,Golf,54.71
Sam Burns,-0.3145,-0.088,0.402,-0.533,-0.43,-0.49,0.474,G,Sam Burns (14695959),14695959,G,6900,Rocket Mortgage Classic,Golf,53.35
Chris Stroud,-0.1322,-0.776,-0.178,-0.082,-0.044,-0.598,-0.472,G,Chris Stroud (14696004),14696004,G,6300,Rocket Mortgage Classic,Golf,45.81
Austin Cook,-0.1357,-0.209,0.003,0.049,-0.685,-0.212,0.424,G,Austin Cook (14696011),14696011,G,6300,Rocket Mortgage Classic,Golf,47.7
Josh Teater,-0.17375,-1.357,-1.051,0.152,-0.269,-0.307,-0.19,G,Josh Teater (14695997),14695997,G,6400,Rocket Mortgage Classic,Golf,48.86
James Hahn,0.14495,0.533,0.071,0.044,0.341,0.463,0.078,G,James Hahn (14695981),14695981,G,6500,Rocket Mortgage Classic,Golf,53.2
Bo Hoag,-0.111,-0.427,0.058,-0.088,-0.158,-0.485,-0.239,G,Bo Hoag (14696018),14696018,G,6200,Rocket Mortgage Classic,Golf,55.63
Sebastian Cappelen,-0.2352,-0.478,0.187,-0.063,-0.842,-0.665,0.24,G,Sebastian Cappelen (14696046),14696046,G,6000,Rocket Mortgage Classic,Golf,52.57
Tom Hoge,0.1731,0.923,0.325,-0.137,0.631,0.598,0.104,G,Tom Hoge (14695954),14695954,G,7000,Rocket Mortgage Classic,Golf,56.88
Cameron Percy,0.0865,0.516,-0.045,-0.225,0.692,0.561,0.094,G,Cameron Percy (14695982),14695982,G,6500,Rocket Mortgage Classic,Golf,56
Lucas Glover,-0.03685,0.262,-0.103,-0.308,0.404,0.364,0.268,G,Lucas Glover (14695924),14695924,G,8400,Rocket Mortgage Classic,Golf,60.97
Peter Uihlein,0.3208,0.256,0.24,0.492,0.309,0.016,-0.785,G,Peter Uihlein (14695953),14695953,G,7000,Rocket Mortgage Classic,Golf,58.7
Kevin Kisner,-0.003,0.108,0.119,0.064,-0.243,-0.011,0.169,G,Kevin Kisner (14695933),14695933,G,7700,Rocket Mortgage Classic,Golf,57.57
Matt Every,-0.30115,-1.551,-0.877,-0.174,-0.12,-0.673,-0.379,G,Matt Every (14696026),14696026,G,6100,Rocket Mortgage Classic,Golf,41
Sungjae Im,0.2305,1.248,0.313,0.029,0.385,0.935,0.521,G,Sungjae Im (14695913),14695913,G,9800,Rocket Mortgage Classic,Golf,76.79
Ricky Barnes,0.15185,-0.363,0.442,0.393,-0.054,-0.805,-1.144,G,Ricky Barnes (14696043),14696043,G,6000,Rocket Mortgage Classic,Golf,56.94
Tyler McCumber,-0.0587,-0.192,-0.522,-0.13,0.225,0.331,0.236,G,Tyler McCumber (14696010),14696010,G,6300,Rocket Mortgage Classic,Golf,53.63
Sam Ryder,-0.0004,-0.011,-0.007,-0.073,0.169,-0.003,-0.099,G,Sam Ryder (14695989),14695989,G,6500,Rocket Mortgage Classic,Golf,52.68
Brian Stuard,0.24945,0.471,0.219,0.436,-0.024,0.252,-0.16,G,Brian Stuard (14695939),14695939,G,7400,Rocket Mortgage Classic,Golf,62.08
Brian Harman,0.2296,0.819,0.267,0.195,0.233,0.552,0.124,G,Brian Harman (14695930),14695930,G,7900,Rocket Mortgage Classic,Golf,69.23
Lucas Bjerregaard,-0.2594,-1.054,-0.024,-0.136,-0.458,-1.03,-0.436,G,Lucas Bjerregaard (14696035),14696035,G,6100,Rocket Mortgage Classic,Golf,36.12
Scott Stallings,0.19305,0.391,0.036,0.224,0.257,0.354,-0.126,G,Scott Stallings (14695937),14695937,G,7500,Rocket Mortgage Classic,Golf,66.04
Jason Day,0.2768,0.303,-0.147,0.764,-0.45,0.451,0.136,G,Jason Day (14695922),14695922,G,8600,Rocket Mortgage Classic,Golf,52.15
Branden Grace,0.20145,0.213,-0.126,0.237,0.399,0.339,-0.297,G,Branden Grace (14695934),14695934,G,7700,Rocket Mortgage Classic,Golf,59.04
J.J. Spaun,-0.36485,-0.987,-0.138,-0.466,-0.248,-0.849,-0.134,G,J.J. Spaun (14696006),14696006,G,6300,Rocket Mortgage Classic,Golf,47.27
Mark Anderson,-0.0042,0.094,0.046,-0.15,0.258,0.048,-0.06,G,Mark Anderson (14696031),14696031,G,6100,Rocket Mortgage Classic,Golf,53.27
Jonathan Byrd,-0.2132,-1.161,-0.877,-0.206,0.197,-0.284,-0.274,G,Jonathan Byrd (14696028),14696028,G,6100,Rocket Mortgage Classic,Golf,38.93
Tim Wilkinson,0.114,0.149,-0.042,0.26,-0.079,0.191,0.01,G,Tim Wilkinson (14696016),14696016,G,6200,Rocket Mortgage Classic,Golf,54.23
Bubba Watson,0.0957,1.128,0.489,-0.139,0.105,0.639,0.673,G,Bubba Watson (14695916),14695916,G,9200,Rocket Mortgage Classic,Golf,63.54
Hudson Swafford,0.18625,0.535,0.22,0.227,0.098,0.315,-0.01,G,Hudson Swafford (14696000),14696000,G,6400,Rocket Mortgage Classic,Golf,53.71
Rob Oppenheim,0.1556,-0.426,-0.622,0.548,-0.086,0.195,-0.267,G,Rob Oppenheim (14696039),14696039,G,6100,Rocket Mortgage Classic,Golf,52.47
Zack Sucher,0.0222,-0.135,-0.365,0.122,-0.005,0.23,0.114,G,Zack Sucher (14696013),14696013,G,6200,Rocket Mortgage Classic,Golf,52.4
George McNeill,-0.12305,-0.27,0.046,-0.269,0.113,-0.315,-0.159,G,George McNeill (14702202),14702202,G,6000,Rocket Mortgage Classic,Golf,44.12
Sepp Straka,-0.00545,0.243,-0.023,-0.1,0.082,0.266,0.284,G,Sepp Straka (14695969),14695969,G,6700,Rocket Mortgage Classic,Golf,42.58
