Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
G,Bryson DeChambeau (14695907),Bryson DeChambeau,14695907,G,11700,Rocket Mortgage Classic,Golf,0.35075
G,Webb Simpson (14695908),Webb Simpson,14695908,G,11000,Rocket Mortgage Classic,Golf,0.52205
G,Tyrrell Hatton (14695909),Tyrrell Hatton,14695909,G,10700,Rocket Mortgage Classic,Golf,0.75525
G,Patrick Reed (14695910),Patrick Reed,14695910,G,10500,Rocket Mortgage Classic,Golf,0.417
G,Hideki Matsuyama (14695911),Hideki Matsuyama,14695911,G,10200,Rocket Mortgage Classic,Golf,0.4548
G,Viktor Hovland (14695912),Viktor Hovland,14695912,G,10000,Rocket Mortgage Classic,Golf,-0.01605
G,Sungjae Im (14695913),Sungjae Im,14695913,G,9800,Rocket Mortgage Classic,Golf,0.2305
G,Rickie Fowler (14695914),Rickie Fowler,14695914,G,9500,Rocket Mortgage Classic,Golf,0.1068
G,Tony Finau (14695915),Tony Finau,14695915,G,9300,Rocket Mortgage Classic,Golf,0.4787
G,Bubba Watson (14695916),Bubba Watson,14695916,G,9200,Rocket Mortgage Classic,Golf,0.0957
G,Kevin Na (14695917),Kevin Na,14695917,G,9100,Rocket Mortgage Classic,Golf,0.33445
G,Scottie Scheffler (14695918),Scottie Scheffler,14695918,G,9000,Rocket Mortgage Classic,Golf,0.11605
G,Rory Sabbatini (14695920),Rory Sabbatini,14695920,G,8800,Rocket Mortgage Classic,Golf,0.1483
G,J.T. Poston (14695921),J.T. Poston,14695921,G,8700,Rocket Mortgage Classic,Golf,0.20105
G,Jason Day (14695922),Jason Day,14695922,G,8600,Rocket Mortgage Classic,Golf,0.2768
G,Doc Redman (14695923),Doc Redman,14695923,G,8500,Rocket Mortgage Classic,Golf,0.0299
G,Lucas Glover (14695924),Lucas Glover,14695924,G,8400,Rocket Mortgage Classic,Golf,-0.03685
G,Christiaan Bezuidenhout (14695925),Christiaan Bezuidenhout,14695925,G,8300,Rocket Mortgage Classic,Golf,0.23695
G,Adam Hadwin (14695926),Adam Hadwin,14695926,G,8200,Rocket Mortgage Classic,Golf,0.26875
G,Rafa Cabrera Bello (14695927),Rafa Cabrera Bello,14695927,G,8100,Rocket Mortgage Classic,Golf,-0.03245
G,Kurt Kitayama (14702199),Kurt Kitayama,14702199,G,8100,Rocket Mortgage Classic,Golf,0.04985
G,Brandt Snedeker (14695929),Brandt Snedeker,14695929,G,7900,Rocket Mortgage Classic,Golf,0.35585
G,Brian Harman (14695930),Brian Harman,14695930,G,7900,Rocket Mortgage Classic,Golf,0.2296
G,Alex Noren (14695931),Alex Noren,14695931,G,7800,Rocket Mortgage Classic,Golf,0.2917
G,Brendon Todd (14695932),Brendon Todd,14695932,G,7800,Rocket Mortgage Classic,Golf,0.0178
G,Kevin Kisner (14695933),Kevin Kisner,14695933,G,7700,Rocket Mortgage Classic,Golf,-0.003
G,Branden Grace (14695934),Branden Grace,14695934,G,7700,Rocket Mortgage Classic,Golf,0.20145
G,Maverick McNealy (14695935),Maverick McNealy,14695935,G,7600,Rocket Mortgage Classic,Golf,0.11675
G,Harold Varner III (14695936),Harold Varner III,14695936,G,7600,Rocket Mortgage Classic,Golf,0.25055
