Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
G,Rory McIlroy (14662969),Rory McIlroy,14662969,G,11200,Travelers Championship,Golf,2.4648
G,Bryson DeChambeau (14662970),Bryson DeChambeau,14662970,G,11000,Travelers Championship,Golf,2.53565
G,Justin Thomas (14662971),Justin Thomas,14662971,G,10800,Travelers Championship,Golf,2.94245
G,Jon Rahm (14662973),Jon Rahm,14662973,G,10200,Travelers Championship,Golf,2.3476
G,Patrick Cantlay (14662975),Patrick Cantlay,14662975,G,9800,Travelers Championship,Golf,2.50825
G,Xander Schauffele (14662976),Xander Schauffele,14662976,G,9600,Travelers Championship,Golf,2.3377
G,Dustin Johnson (14662977),Dustin Johnson,14662977,G,9400,Travelers Championship,Golf,1.104
G,Justin Rose (14662978),Justin Rose,14662978,G,9200,Travelers Championship,Golf,0.9428
G,Collin Morikawa (14662979),Collin Morikawa,14662979,G,9100,Travelers Championship,Golf,1.6568
G,Abraham Ancer (14662980),Abraham Ancer,14662980,G,9000,Travelers Championship,Golf,1.858
G,Paul Casey (14662981),Paul Casey,14662981,G,8900,Travelers Championship,Golf,1.6973
G,Bubba Watson (14662982),Bubba Watson,14662982,G,8800,Travelers Championship,Golf,1.39225
G,Patrick Reed (14662983),Patrick Reed,14662983,G,8700,Travelers Championship,Golf,2.2286
G,Sungjae Im (14662984),Sungjae Im,14662984,G,8600,Travelers Championship,Golf,2.14725
G,Sergio Garcia (14662985),Sergio Garcia,14662985,G,8500,Travelers Championship,Golf,1.18825
G,Jordan Spieth (14662986),Jordan Spieth,14662986,G,8400,Travelers Championship,Golf,1.0807
G,Gary Woodland (14662989),Gary Woodland,14662989,G,8300,Travelers Championship,Golf,2.6139
G,Tony Finau (14662991),Tony Finau,14662991,G,8200,Travelers Championship,Golf,2.14185
G,Matthew Fitzpatrick (14662987),Matthew Fitzpatrick,14662987,G,8100,Travelers Championship,Golf,0.846
G,Marc Leishman (14662988),Marc Leishman,14662988,G,8000,Travelers Championship,Golf,1.342
G,Joaquin Niemann (14662990),Joaquin Niemann,14662990,G,7900,Travelers Championship,Golf,1.5505
G,J.T. Poston (14662994),J.T. Poston,14662994,G,7900,Travelers Championship,Golf,1.86765
G,Viktor Hovland (14662992),Viktor Hovland,14662992,G,7800,Travelers Championship,Golf,1.3943
G,Ian Poulter (14662993),Ian Poulter,14662993,G,7800,Travelers Championship,Golf,0.84165
G,Joel Dahmen (14662995),Joel Dahmen,14662995,G,7700,Travelers Championship,Golf,1.2845
G,Kevin Kisner (14662996),Kevin Kisner,14662996,G,7700,Travelers Championship,Golf,1.1028
G,Scottie Scheffler (14662997),Scottie Scheffler,14662997,G,7600,Travelers Championship,Golf,2.0866
G,Brian Harman (14662998),Brian Harman,14662998,G,7600,Travelers Championship,Golf,1.8633
G,Corey Conners (14662999),Corey Conners,14662999,G,7500,Travelers Championship,Golf,1.50395
G,Jason Day (14663000),Jason Day,14663000,G,7500,Travelers Championship,Golf,1.1509
G,Keegan Bradley (14663001),Keegan Bradley,14663001,G,7400,Travelers Championship,Golf,0.4864
G,Jason Kokrak (14663002),Jason Kokrak,14663002,G,7400,Travelers Championship,Golf,1.1338
G,Billy Horschel (14663003),Billy Horschel,14663003,G,7300,Travelers Championship,Golf,1.3283
G,Ryan Palmer (14663004),Ryan Palmer,14663004,G,7300,Travelers Championship,Golf,1.55185
G,Chez Reavie (14663005),Chez Reavie,14663005,G,7300,Travelers Championship,Golf,0.92115
G,Byeong Hun An (14663006),Byeong Hun An,14663006,G,7200,Travelers Championship,Golf,1.65165
G,Brandt Snedeker (14663007),Brandt Snedeker,14663007,G,7200,Travelers Championship,Golf,2.0468
G,Branden Grace (14663008),Branden Grace,14663008,G,7200,Travelers Championship,Golf,1.047
G,Louis Oosthuizen (14663009),Louis Oosthuizen,14663009,G,7200,Travelers Championship,Golf,0.61555
G,Shane Lowry (14663010),Shane Lowry,14663010,G,7100,Travelers Championship,Golf,1.09265
G,Kevin Na (14663011),Kevin Na,14663011,G,7100,Travelers Championship,Golf,1.8329
G,Kevin Streelman (14663012),Kevin Streelman,14663012,G,7100,Travelers Championship,Golf,1.1857
G,Harold Varner III (14663013),Harold Varner III,14663013,G,7100,Travelers Championship,Golf,1.63245
G,Dylan Frittelli (14663014),Dylan Frittelli,14663014,G,7100,Travelers Championship,Golf,1.1198
G,Rafa Cabrera Bello (14663015),Rafa Cabrera Bello,14663015,G,7000,Travelers Championship,Golf,1.1431
G,Jim Furyk (14663016),Jim Furyk,14663016,G,7000,Travelers Championship,Golf,1.53235
G,Charley Hoffman (14663017),Charley Hoffman,14663017,G,7000,Travelers Championship,Golf,1.64065
G,Max Homa (14663018),Max Homa,14663018,G,7000,Travelers Championship,Golf,1.3056
G,Lucas Glover (14663019),Lucas Glover,14663019,G,7000,Travelers Championship,Golf,1.12975
G,Danny Lee (14663020),Danny Lee,14663020,G,6900,Travelers Championship,Golf,1.51825
G,Luke List (14663021),Luke List,14663021,G,6900,Travelers Championship,Golf,1.0932
G,Phil Mickelson (14663022),Phil Mickelson,14663022,G,6900,Travelers Championship,Golf,1.4057
G,Ryan Moore (14663023),Ryan Moore,14663023,G,6900,Travelers Championship,Golf,1.3137
G,Patrick Rodgers (14663024),Patrick Rodgers,14663024,G,6900,Travelers Championship,Golf,1.52915
G,Bud Cauley (14663025),Bud Cauley,14663025,G,6900,Travelers Championship,Golf,1.2169
G,Russell Henley (14663026),Russell Henley,14663026,G,6800,Travelers Championship,Golf,1.45905
G,Carlos Ortiz (14663028),Carlos Ortiz,14663028,G,6800,Travelers Championship,Golf,1.89905
G,Matthew Wolff (14663030),Matthew Wolff,14663030,G,6800,Travelers Championship,Golf,0.76535
G,Zach Johnson (14663033),Zach Johnson,14663033,G,6700,Travelers Championship,Golf,1.5028
G,Russell Knox (14663034),Russell Knox,14663034,G,6700,Travelers Championship,Golf,1.6066
G,Cameron Smith (14663035),Cameron Smith,14663035,G,6700,Travelers Championship,Golf,1.67715
G,Brendon Todd (14663036),Brendon Todd,14663036,G,6700,Travelers Championship,Golf,1.7357
G,Matt Wallace (14663037),Matt Wallace,14663037,G,6700,Travelers Championship,Golf,0.44805
G,Doc Redman (14663038),Doc Redman,14663038,G,6700,Travelers Championship,Golf,1.4559
G,Jhonattan Vegas (14663039),Jhonattan Vegas,14663039,G,6700,Travelers Championship,Golf,0.8942
