Name,Scoring Average (Actual)-AVG,Score,Driving Accuracy Percentage-%,Rough Tendency-%,Hit Fairway Percentage-%,Scrambling-%,Scrambling from the Fringe-%,Sand Save Percentage-%,Scrambling from the Rough-%,Birdie Average-AVG,Bogey Average-AVERAGE BOGEYS PER ROUND,SG: Putting-AVERAGE,SG: Around-the-Green-AVERAGE,SG: Approach the Green-AVERAGE,SG: Off-the-Tee-AVERAGE,SG: Tee-to-Green-AVERAGE
Roger Sloan,71.26,28.00625,58.57,30.43,59.42,61.21,93.33,54.55,59.74,3.23,2.79,-0.635,0.155,-0.497,-0.238,-0.423
Patton Kizzire,71.18,25.38595,52.56,32.66,53.27,55.65,100,48.33,49.44,3.54,2.81,0.537,-0.066,-0.754,-0.807,-1.62
Emiliano Grillo,70.39,24.8411,66.49,27.36,63.19,51.58,70.59,40.43,47.27,3.71,2.77,-1.127,-0.138,0.725,0.11,0.712
Ryan Palmer,69.7,28.462,64.11,21.99,66.49,59.42,88.89,47.54,48.98,4.18,2.61,-0.197,-0.275,0.188,0.567,0.395
Rob Oppenheim,70.88,28.8022,62.48,31.59,62.09,62.62,90.91,52.56,64.41,3.33,2.55,-0.529,0.565,-0.037,-0.312,0.216
Matt Jones,70.28,28.38535,59.21,28.49,59.43,60.07,86.67,58.24,58.33,3.69,2.7,-0.135,0.147,-0.201,0.317,0.234
Matthew Wolff,71.1,24.92435,57.31,31.5,59.5,56.69,77.27,41.79,54.24,3.52,2.68,0.022,-0.494,-0.227,0.509,-0.16
Joaquin Niemann,69.65,27.0481,56.52,32.27,58.12,58.67,85.71,53.03,56.6,3.98,2.43,0.052,-0.103,0.66,0.365,0.731
Kevin Na,70.07,30.97485,63.25,27.17,63.92,66.67,92.31,58.43,60.81,3.93,2.14,0.769,0.252,0.343,-0.444,0.151
Hank Lebioda,71.49,25.2097,58.9,33.71,55.71,55.65,80,46.58,60,3.44,2.97,-0.403,-0.165,-0.564,-0.113,-0.843
Brendon Todd,69.83,34.7629,72.54,22.26,72.81,70.03,96,69.23,68.14,3.83,2.12,0.337,0.015,-0.197,-0.075,-0.291
Harry Higgs,69.8,29.8559,63.07,25.75,63.21,64.04,92,46.73,71.07,3.93,2.11,0.338,-0.025,-0.237,0.459,0.281
Jim Furyk,69.8,29.31,78.8,13.98,79.21,53.06,62.5,47.37,51.72,3.72,2.13,-0.071,-0.057,0.637,-0.051,0.549
Cameron Percy,70,28.15505,61.78,29.23,61.03,61.98,88.46,45.45,62.5,3.68,2.08,0.089,-0.295,0.636,0.191,0.532
Troy Merritt,70.81,26.35305,62.09,29.11,60.23,57.32,88.46,41.54,52.54,3.81,2.58,0.432,-0.231,-0.479,-0.279,-0.886
Mark Hubbard,69.68,29.50395,64.12,26.88,64.52,62.26,95,48.94,60.87,3.79,2.15,0.477,0.04,0.076,0.005,0.124
J.J. Spaun,71.48,23.912,56.42,31.98,58.11,50.97,72,49.21,48.08,3.66,3,-0.077,-0.488,-0.19,-0.038,-0.782
Justin Thomas,68.31,29.7961,57.14,35.45,56.36,65.45,94.44,62.79,58.97,4.86,2,0.292,0.273,1.057,0.395,1.773
Viktor Hovland,69.82,27.32805,66.03,24.21,61.51,57.58,88.89,44.78,43.75,3.84,2.44,0.129,-0.779,0.561,0.649,0.3
Brice Garnett,69.8,29.10605,64.39,29.46,62.13,63.6,89.66,51.39,58.02,3.65,2.21,0.334,0.147,-0.18,0.188,-0.081
Cameron Smith,69.97,27.72525,56.95,34.14,57.53,58.33,100,55.36,55.7,4.18,2.56,0.6,0.081,-0.262,-0.086,-0.269
Bryson DeChambeau,68.38,31.1808,61.13,32.05,60.96,67.5,90.91,63.46,66,4.38,1.93,0.474,0.072,0.523,1.098,1.588
Joseph Bramlett,70.95,25.7461,56.54,32.17,56.3,53.74,95.24,46.77,56.47,3.59,2.73,-0.189,-0.053,0.219,-0.262,-0.096
Sung Kang,70.88,25.83885,57.92,32.64,58.25,56.79,91.67,44.12,53.16,3.92,2.78,-0.456,-0.2,0.286,0.331,0.548
Patrick Cantlay,69.15,29.0087,67.49,23.62,67.32,57.78,92.86,50,41.38,4.65,2.25,0.096,0.235,1.093,0.348,1.676
Cameron Davis,70.63,28.20685,57.25,31.11,57.58,62.61,86.36,57.53,59.57,3.73,2.7,-0.412,0.211,0.18,0.18,0.571
Scott Stallings,69.89,27.15185,56.28,30.13,57.07,60.85,83.33,49.06,62.14,3.62,2.27,-0.036,0.169,0.139,-0.156,0.123
Joel Dahmen,69.78,30.8395,66.14,25.26,66.74,64.24,86.67,56.67,66.3,3.73,2.47,-0.198,0.123,0.735,0.478,1.312
Matthew NeSmith,69.57,28.27205,65.83,25.55,64.07,61.98,72.97,48.15,54.55,3.94,2.18,0.328,-0.114,0.538,0.001,0.318
Bronson Burgoon,69.56,28.5086,59.16,30.62,57.28,60.93,82.61,59.57,59.34,4.31,2.51,0.398,0.173,0.195,-0.126,0.384
Marc Leishman,70.34,26.305,51.85,34.92,55.03,61.36,93.75,46.88,55.93,3.8,2.51,0.058,-0.134,1.165,0.091,1.123
Doc Redman,70.05,29.62565,68.3,23.54,67.53,57.19,91.67,54.02,56.6,3.88,2.45,-0.109,-0.337,0.642,0.381,0.552
Bubba Watson,69.47,28.06195,57.2,33.62,55.07,61.17,93.75,53.06,65.45,3.74,2.41,0.636,-0.12,0.127,0.627,0.584
Rory McIlroy,68.53,28.8575,57.21,35.47,54.34,68.28,93.75,50,62.5,4.28,1.86,-0.003,0.377,0.875,0.736,2.158
Martin Trainer,74.06,22.89465,47.14,38.93,48.53,53.72,91.67,50.98,51.72,2.89,3.91,-0.267,-0.043,-2.078,-0.552,-2.519
Keegan Bradley,70.39,27.9346,59.48,27.13,60.83,59.7,86.21,57.14,50.79,3.39,2.86,-0.523,0.285,0.173,0.14,0.598
Gary Woodland,68.95,31.6034,65.41,27.48,62.89,65.68,100,57.41,65.12,4.34,1.79,0.315,-0.18,0.919,0.111,1.099
Jordan Spieth,70.58,23.902,50.28,42.26,47.92,57.08,89.47,45.45,54.84,3.97,2.88,0.392,0.443,-0.36,-0.216,-0.224
J.T. Poston,69.56,30.26235,64.15,28.25,63.01,61.36,100,57.14,59.52,4.15,2.32,0.759,0.098,-0.163,0.141,0.164
Chris Stroud,70.91,26.8425,58.95,29.29,58.57,57.14,95,47.17,57.63,3.74,2.97,-0.25,-0.241,-0.054,-0.434,-0.774
Wyndham Clark,70.85,25.2041,53.14,39.74,46.32,57.35,94.74,50.77,55.41,3.94,2.63,0.51,0.125,-0.462,-0.334,-0.61
Paul Casey,70.29,26.66825,63.94,27.63,67.11,55.03,100,35.71,50,4.18,2.5,-0.741,-0.428,0.905,0.557,1.034
Carlos Ortiz,69.44,27.6372,55.36,37.24,52.8,65.31,88.46,51.43,63.46,4.04,2.15,0.148,0.415,0.288,-0.023,0.739
Vaughn Taylor,70.17,28.99635,68.52,24.38,66,58.23,86.96,47.66,59.55,4.13,2.43,0.418,-0.144,-0.122,0.025,-0.25
Talor Gooch,70.14,27.29935,57.14,31.72,56.88,58.6,94.12,53,53.27,3.73,2.35,0.312,0.14,0.115,-0.081,0.22
Luke List,70.6,27.4788,57.64,28.34,57.38,57.08,85.71,58.21,54.41,3.67,2.59,-0.321,0.067,0.259,0.265,0.649
Brian Harman,69.35,30.682,63.46,27.27,64.86,65.31,92,59.49,57.45,4.06,2.25,0.361,0.109,0.248,0.114,0.5
Michael Thompson,70.61,29.98385,66,25.56,65.83,59.61,100,53.23,63.08,3.47,2.53,0.265,0.085,-0.346,-0.148,-0.663
