Name,AvgPointsPerGame,Driving Accuracy Percentage-%,Rough Tendency-%,Hit Fairway Percentage-%,Scrambling-%,Scrambling from the Fringe-%,Sand Save Percentage-%,Scrambling from the Rough-%,Birdie Average-AVG,Bogey Average-AVERAGE BOGEYS PER ROUND,Birdie to Bogey Ratio-BIRDIE TO BOGEY RATIO,SG: Total-AVERAGE,SG: Putting-AVERAGE,SG: Around-the-Green-AVERAGE,SG: Approach the Green-AVERAGE,SG: Off-the-Tee-AVERAGE,SG: Tee-to-Green-AVERAGE,1-Putts per Round-AVG,One-Putt Percentage - Round 1-%,One-Putt Percentage - Round 3-%,One-Putt Percentage-%,One-Putt Percentage - Round 2-%,3-Putts per Round-AVG,Greens in Regulation Percentage-%,Greens or Fringe in Regulation-%,Birdie or Better Conversion Percentage-%,Birdie or Better Percentage - Fairway-%,Birdie or Better Percentage - Rough-%,Birdie or Better Percentage - Right Rough-%,Birdie or Better Percentage - Left Rough-%,GIR Percentage from Other than Fairway-%,Fairway Approach (RTP Score)-AVG RTP,Going for the Green - Birdie or Better-%,Going for the Green - Hit Green Pct-%,GIR Pct - Fairway Bunker-%,Approaches Left Rough (RTP Score)-AVG RTP,GIR Percentage from Fairway-%,Approaches Right Rough (RTP Score)-AVG RTP,Par 5 Going for the Green-%,Front 9 Par 4 Scoring Average-AVG,Back 9 Par 4 Scoring Average-AVG,Scoring Average Before Cut-AVG,Final Round Scoring Average-AVG,Round 3 Scoring Average-AVG,Round 2 Scoring Average-AVG,Round 1 Scoring Average-AVG,Front 9 Round 1 Scoring Average-AVG,Back 9 Round 1 Scoring Average-AVG,Front 9 Par 3 Scoring Average-AVG,Back 9 Par 3 Scoring Average-AVG,Par 5 Performance-PAR 5 AVG,Par 4 Performance-PAR 4 AVG,Par 4 Scoring Average-AVG,Par Breakers-%,Bounce Back-%,Birdie or Better Percentage-%,Back 9 Scoring Average-AVG,Back 9 Par 5 Scoring Average-AVG,Par 4 Birdie or Better Leaders-%,Back 9 Round 3 Scoring Average-AVG,Par 5 Scoring Average-AVG,Par 3 Scoring Average-AVG,Par 5 Birdie or Better Leaders-%,Front 9 Round 4 Scoring Average-AVG,Par 3 Birdie or Better Leaders-%,Stroke Differential Field Average-STROKE DIFFERENTIAL,Eagles (Holes per)-# OF EAGLES,Scoring Average (Actual)-ROUNDS,Front 9 Par 5 Scoring Average-AVG,Par 3 Performance-PAR 3 AVG,Percentage of Yardage covered by Tee Shots-AVG (%),Right Tendency-%,Right Tendency-AVG RTP SCORE,Percentage of Yardage covered by Tee Shots - Par 4's-AVG (%),Left Tendency-%,Left Tendency-AVG RTP SCORE,Left Rough Tendency (RTP Score)-RTP SCORE,Right Rough Tendency (RTP Score)-RTP SCORE,Fairway Bunker Tendency-RELATIVE TO PAR,Right Rough Tendency-%,Left Rough Tendency-%,Proximity to Hole (ARG)-SCRAMBLING RANK,Proximity to Hole from Fringe-SCRAMBLING RANK,Scrambling Fringe (RTP Score)-AVG RTP,Scrambling from Other Locations-%,Scrambling from the Sand-%,Scrambling Rough (RTP Score)-AVG RTP
Roger Sloan,38.61,58.57,30.43,59.42,61.21,93.33,54.55,59.74,3.23,2.79,1.09,-1.163,-0.635,0.155,-0.497,-0.238,-0.423,7.06,36.9,48.61,39.37,38.46,0.64,64.44,67.68,27.23,17.89,12.5,17.65,8.7,52.88,-0.008,46.15,14.63,50,0.109,74.17,0.147,53.23,4.04,4.06,71.55,70.33,70,70.77,72.31,35.85,36.36,3.11,3.27,4.59,4.05,4.04,18.86,20.21,18.86,36.12,4.75,16.67,35.5,4.59,3.18,41.23,35,6.06,-0.66,5,35,4.42,3.2,63.25,43.6,1.67,67.29,56.4,1.13,0,0.125,0.25,14.49,15.94,72,80,-0.067,64.79,49.02,0.429
Patton Kizzire,42.46,52.56,32.66,53.27,55.65,100,48.33,49.44,3.54,2.81,1.07,-1.103,0.537,-0.066,-0.754,-0.807,-1.62,7.46,46.83,35.19,42.74,43.59,0.32,61.97,67.38,31.64,20.69,16.13,18.46,13.56,48.18,-0.052,60.38,17.24,57.1,0.169,76.75,0.077,53.66,4.09,4.11,70.86,73,70.83,72,70.08,35.38,34.64,3.06,3.07,4.65,4.1,4.09,19.97,17.95,19.97,35.78,4.66,15.69,36,4.65,3.06,43.97,35.8,14.19,-0.95,3,39,4.65,3.06,62.97,53.3,1.24,66.37,46.7,2.47,0.133,0,0.036,17.59,15.08,171,182,-0.053,56.57,50,0.584
Emiliano Grillo,47,66.49,27.36,63.19,51.58,70.59,40.43,47.27,3.71,2.77,1.28,-0.478,-1.127,-0.138,0.725,0.11,0.712,5.59,31.48,27.78,31.17,35.47,0.67,72.76,78.7,27.61,19.06,18.57,19.35,17.95,56.91,-0.04,64.58,33.33,75,0.205,81.72,0.097,59.09,4.05,4.02,70.48,70.5,69.83,70.85,70.14,35.5,34.67,3.09,2.99,4.6,4.04,4.04,21.23,25.89,21.23,35.03,4.55,15.87,34.67,4.6,3.04,47.73,35,14.38,0.18,5,41,4.65,3.04,62.6,41.3,2.22,65.88,58.7,1.72,0.18,0.147,0.125,11.07,16.29,221,216,0.294,57.63,36.67,0.527
Ryan Palmer,70.64,64.11,21.99,66.49,59.42,88.89,47.54,48.98,4.18,2.61,1.47,0.404,-0.197,-0.275,0.188,0.567,0.395,7.17,39.9,39.58,40.56,37.78,0.61,68.06,72.58,33.33,23.94,15.12,12.2,17.78,56.57,-0.079,60.94,22.37,56.7,0.089,75.68,0.122,66.67,4.04,3.99,69.23,70.13,71.13,69,70.1,34.7,35.27,3.05,3.09,4.52,4.02,4,23.3,30.61,23.3,35.14,4.53,19.04,36.38,4.52,3.05,54.1,35.5,13.89,0.71,3,40,4.5,3.07,64.24,53.7,1.97,67.63,46.3,0.88,0.045,0.2,0.233,10.47,11.52,79,108,0.056,61.43,51.43,0.551
Rob Oppenheim,54.3,62.48,31.59,62.09,62.62,90.91,52.56,64.41,3.33,2.55,1.21,-0.313,-0.529,0.565,-0.037,-0.312,0.216,6.84,40,33.33,37.98,37.04,0.55,64.51,69.87,26.73,18.31,17.78,14.86,21.31,51.36,-0.042,54.39,19.3,45.8,-0.082,75.47,0.162,52.88,4.03,4.08,70.47,70.22,72.6,71.33,69.67,34.67,35,3.07,3.03,4.64,4.06,4.06,19.39,14.06,19.39,35.67,4.68,14.91,36.6,4.64,3.05,43.83,34.78,11.17,0,8,49,4.59,3.05,60.73,54.9,3.05,64.47,45.1,-0.26,-0.029,0.187,0.375,16.34,15.25,61,55,-0.03,52.48,60.66,0.322
Matt Jones,58.88,59.21,28.49,59.43,60.07,86.67,58.24,58.33,3.69,2.7,1.26,0.091,-0.135,0.147,-0.201,0.317,0.234,6.94,38.89,38.38,38.58,41.45,0.68,66.67,70.63,30.23,20.55,17.48,20.78,13.64,54.45,-0.063,59.74,26.67,50,0.106,77.15,0.052,63.21,4.02,4.07,69.97,71,70.27,68.85,71.4,35.33,35.88,3.04,3.14,4.54,4.05,4.04,20.78,20,20.78,35.58,4.56,15.3,35.36,4.54,3.08,52.47,35.27,13.93,0.36,7,54,4.51,3.07,64.03,55,1.03,67.46,45,1.05,0.086,0.037,0.109,15.28,13.21,103,96,0.133,60.48,54.84,0.464
Matthew Wolff,56.38,57.31,31.5,59.5,56.69,77.27,41.79,54.24,3.52,2.68,1.18,-0.195,0.022,-0.494,-0.227,0.509,-0.16,6.75,36.11,38.27,37.83,36.36,0.4,64.68,70.97,30.53,20.17,14.04,20.75,8.2,52.08,-0.063,59.04,33.33,47.8,0.148,79.06,0.075,72.83,4.06,4.03,70.8,70.78,72.22,70.73,70.91,35.09,35.92,3.1,3.13,4.64,4.05,4.05,20,25.44,20,35.65,4.63,15.89,36.44,4.64,3.11,47.1,35.22,8.13,-0.17,3,42,4.65,3.13,65.84,46.2,0.42,69.31,53.8,2.86,0.106,-0.05,0.304,15,16.5,171,168,0.227,60.47,46.34,0.508
Joaquin Niemann,64.54,56.52,32.27,58.12,58.67,85.71,53.03,56.6,3.98,2.43,1.48,1.019,0.052,-0.103,0.66,0.365,0.731,6.64,34.92,35.42,37.32,38.89,0.64,71.01,77.46,31.01,24.43,14.88,14.52,15.25,58.85,-0.144,58.57,26.58,48.1,0.034,81.71,0.177,66.3,3.97,4.03,69.82,69.38,70.75,69.77,70.08,35,35,2.97,3.1,4.59,4,3.97,21.96,19.63,21.96,35.36,4.54,17.47,36.38,4.59,3.03,46.48,34.13,15.48,0.68,5,46,4.66,3.04,64.17,49.7,1.49,67.92,50.3,0.8,0,0.082,0.333,16.7,15.56,111,119,0.048,55.26,56.76,0.472
Kevin Na,63.96,63.25,27.17,63.92,66.67,92.31,58.43,60.81,3.93,2.14,1.64,0.92,0.769,0.252,0.343,-0.444,0.151,7.86,39.74,47.53,43.69,45.3,0.43,64.77,70.66,33.01,25.84,12.61,16.39,8,44.25,-0.148,58.57,18.57,52.2,0.22,77.89,0.066,54.81,4.02,4.01,70.07,70.33,69.44,69.46,70.92,35.69,35.23,3.02,2.9,4.61,4.02,4.02,22.35,20.59,22.35,35.11,4.59,17.13,35.11,4.61,2.97,45.95,34.67,16.38,0.71,4,44,4.64,2.97,62.1,54.5,1.31,66.45,45.5,2.43,0.113,0.145,0.087,15.37,11.8,12,11,-0.115,65.82,62.75,0.459
Hank Lebioda,46.21,58.9,33.71,55.71,55.65,80,46.58,60,3.44,2.97,1.06,-1.246,-0.403,-0.165,-0.564,-0.113,-0.843,7.03,38.49,34.26,39.03,38.49,0.74,64.67,66,29.65,21.27,13.08,12.77,13.33,51.34,-0.044,46.81,17.02,45.8,0.117,74.45,0.34,57.69,4.03,4.18,72.27,68.4,69.67,73.14,71.71,35.5,36.21,3.05,3.06,4.66,4.11,4.11,19.94,16.41,19.94,35.95,4.52,16.31,35.33,4.66,3.06,42.19,34.6,11.46,-0.81,6,39,4.81,3.06,62.51,47,3.1,66.26,53,2,0.123,0.34,0.208,15.14,18.57,189,182,0.2,50.72,46.15,0.419
