Name,Scoring Average-AVG,Score,SG: Putting-AVERAGE,SG: Around-the-Green-AVERAGE,SG: Approach the Green-AVERAGE,SG: Off-the-Tee-AVERAGE,SG: Tee-to-Green-AVERAGE
Roger Sloan,71.991,-0.46935,-0.635,0.155,-0.497,-0.238,-0.423
Patton Kizzire,71.875,-0.25885,0.537,-0.066,-0.754,-0.807,-1.62
Emiliano Grillo,71.008,-0.3213,-1.127,-0.138,0.725,0.11,0.712
Ryan Palmer,70.191,0.0199,-0.197,-0.275,0.188,0.567,0.395
Rob Oppenheim,71.287,-0.1733,-0.529,0.565,-0.037,-0.312,0.216
Matt Jones,70.63,0.00145,-0.135,0.147,-0.201,0.317,0.234
Matthew Wolff,71.493,-0.07565,0.022,-0.494,-0.227,0.509,-0.16
Joaquin Niemann,70.232,0.2827,0.052,-0.103,0.66,0.365,0.731
Kevin Na,70.633,0.45955,0.769,0.252,0.343,-0.444,0.151
Hank Lebioda,72.063,-0.4908,-0.403,-0.165,-0.564,-0.113,-0.843
Brendon Todd,70.383,0.0738,0.337,0.015,-0.197,-0.075,-0.291
Harry Higgs,70.257,0.236,0.338,-0.025,-0.237,0.459,0.281
Jim Furyk,70.557,0.1572,-0.071,-0.057,0.637,-0.051,0.549
Cameron Percy,70.769,0.22115,0.089,-0.295,0.636,0.191,0.532
Troy Merritt,71.429,-0.09045,0.432,-0.231,-0.479,-0.279,-0.886
Mark Hubbard,70.445,0.28135,0.477,0.04,0.076,0.005,0.124
J.J. Spaun,72.184,-0.3037,-0.077,-0.488,-0.19,-0.038,-0.782
Justin Thomas,69.026,0.742,0.292,0.273,1.057,0.395,1.773
Viktor Hovland,70.208,0.15015,0.129,-0.779,0.561,0.649,0.3
Brice Garnett,70.468,0.15285,0.334,0.147,-0.18,0.188,-0.081
Cameron Smith,70.687,0.21035,0.6,0.081,-0.262,-0.086,-0.269
Bryson DeChambeau,68.957,0.7484,0.474,0.072,0.523,1.098,1.588
Joseph Bramlett,71.427,-0.115,-0.189,-0.053,0.219,-0.262,-0.096
Sung Kang,71.261,-0.06585,-0.456,-0.2,0.286,0.331,0.548
Patrick Cantlay,69.857,0.6172,0.096,0.235,1.093,0.348,1.676
Cameron Davis,71.06,-0.01515,-0.412,0.211,0.18,0.18,0.571
Scott Stallings,70.741,0.03575,-0.036,0.169,0.139,-0.156,0.123
Joel Dahmen,70.284,0.3387,-0.198,0.123,0.735,0.478,1.312
Matthew NeSmith,70.215,0.28595,0.328,-0.114,0.538,0.001,0.318
Bronson Burgoon,70.493,0.3255,0.398,0.173,0.195,-0.126,0.384
Marc Leishman,70.434,0.4174,0.058,-0.134,1.165,0.091,1.123
Doc Redman,70.655,0.13305,-0.109,-0.337,0.642,0.381,0.552
Bubba Watson,70.113,0.49605,0.636,-0.12,0.127,0.627,0.584
Rory McIlroy,68.749,0.7,-0.003,0.377,0.875,0.736,2.158
Martin Trainer,74.581,-1.00295,-0.267,-0.043,-2.078,-0.552,-2.519
Keegan Bradley,70.581,-0.0592,-0.523,0.285,0.173,0.14,0.598
Gary Woodland,69.653,0.5117,0.315,-0.18,0.919,0.111,1.099
Jordan Spieth,71.14,0.1375,0.392,0.443,-0.36,-0.216,-0.224
J.T. Poston,70.172,0.42105,0.759,0.098,-0.163,0.141,0.164
Chris Stroud,71.81,-0.3697,-0.25,-0.241,-0.054,-0.434,-0.774
Wyndham Clark,71.201,0.0521,0.51,0.125,-0.462,-0.334,-0.61
Paul Casey,70.898,-0.03645,-0.741,-0.428,0.905,0.557,1.034
Carlos Ortiz,70.256,0.3279,0.148,0.415,0.288,-0.023,0.739
Vaughn Taylor,70.575,0.12115,0.418,-0.144,-0.122,0.025,-0.25
Talor Gooch,70.565,0.23245,0.312,0.14,0.115,-0.081,0.22
Luke List,71.274,0.0476,-0.321,0.067,0.259,0.265,0.649
Brian Harman,70.05,0.3469,0.361,0.109,0.248,0.114,0.5
Michael Thompson,71.182,-0.06675,0.265,0.085,-0.346,-0.148,-0.663
