player,Proximity to Hole from Other Locations-ROUNDS,Proximity to Hole from Other Locations-AVG DTP,Proximity to Hole from Other Locations-TOTAL DISTANCE (FEET),Proximity to Hole from Other Locations-# OF SHOTS,Proximity to Hole from Other Locations-SCRAMBLING RANK,Scrambling-ROUNDS,Scrambling-%,Scrambling-PAR OR BETTER,Scrambling-MISSED GIR,Scrambling from the Fringe-ROUNDS,Scrambling from the Fringe-%,Scrambling from the Fringe-SUCCESSES,Scrambling from the Fringe-ATTEMPTS,Sand Save Percentage-ROUNDS,Sand Save Percentage-%,Sand Save Percentage-# SAVES,Sand Save Percentage-# BUNKERS,Sand Save Percentage-TOTAL O/U PAR,Scrambling from the Rough-ROUNDS,Scrambling from the Rough-%,Scrambling from the Rough-SUCCESSES,Scrambling from the Rough-ATTEMPTS,Proximity to Hole (ARG)-ROUNDS,Proximity to Hole (ARG)-AVG DTP,Proximity to Hole (ARG)-TOTAL DISTANCE (FEET),Proximity to Hole (ARG)-# OF SHOTS,Proximity to Hole (ARG)-SCRAMBLING RANK,Proximity to Hole from Fringe-ROUNDS,Proximity to Hole from Fringe-AVG DTP,Proximity to Hole from Fringe-TOTAL DISTANCE (FEET),Proximity to Hole from Fringe-# OF SHOTS,Proximity to Hole from Fringe-SCRAMBLING RANK,Scrambling Fringe (RTP Score)-ROUNDS,Scrambling Fringe (RTP Score)-AVG RTP,Scrambling Fringe (RTP Score)-TOTAL HOLES,Scrambling Fringe (RTP Score)-TOTAL RTP,Scrambling from Other Locations-ROUNDS,Scrambling from Other Locations-%,Scrambling from Other Locations-SUCCESSES,Scrambling from Other Locations-ATTEMPTS,Proximity to Hole from Sand-ROUNDS,Proximity to Hole from Sand-AVG DTP,Proximity to Hole from Sand-TOTAL DISTANCE (FEET),Proximity to Hole from Sand-# OF SHOTS,Proximity to Hole from Sand-SCRAMBLING RANK,Proximity to Hole from Rough-ROUNDS,Proximity to Hole from Rough-AVG DTP,Proximity to Hole from Rough-TOTAL DISTANCE (FEET),Proximity to Hole from Rough-# OF SHOTS,Proximity to Hole from Rough-SCRAMBLING RANK,Scrambling from the Sand-ROUNDS,Scrambling from the Sand-%,Scrambling from the Sand-SUCCESSES,Scrambling from the Sand-ATTEMPTS,Scrambling Rough (RTP Score)-ROUNDS,Scrambling Rough (RTP Score)-AVG RTP,Scrambling Rough (RTP Score)-TOTAL HOLES,Scrambling Rough (RTP Score)-TOTAL RTP,SG: Around-the-Green-ROUNDS,SG: Around-the-Green-AVERAGE,SG: Around-the-Green-TOTAL SG:ARG,SG: Around-the-Green-MEASURED ROUNDS
Josh Teater,29,"4' 4""",1.135,22,219,29,50.98,78,153,29,94.12,16,17,29,39.02,16,41,+17.00,29,46.97,31,66,29,"7' 1""",660.250,93,222,29,"3' 0""",35.750,12,219,29,E,17,E,29,51.28,20,39,29,"9' 6""",217.667,23,219,29,"8' 8""",312.250,36,219,29,35.48,11,31,29,+.621,66,+41.00,29,.152,2.286,15
Rory McIlroy,28,"4' 4""",1.504,29,3,28,68.28,99,145,28,93.75,15,16,28,50.00,22,44,+16.00,28,62.50,20,32,32,"6' 1""",938.333,155,2,28,"2' 6""",35.250,14,3,28,-.063,16,-1.00,28,61.29,19,31,28,"7' 0""",209.750,30,3,28,"8' 4""",382.917,46,3,28,61.54,16,26,28,+.406,32,+13.00,28,.377,7.164,19
Steve Stricker,18,"4' 7""",1.964,36,40,18,64.00,96,150,18,71.43,15,21,18,60.87,28,46,+12.00,18,58.14,25,43,18,"7' 8""",894.917,117,44,18,"2' 11""",47.167,16,40,18,+.143,21,+3.00,18,69.57,32,46,18,"9' 11""",307.333,31,40,18,"11' 1""",376.750,34,40,18,60.00,24,40,18,+.419,43,+18.00,18,.378,4.920,13
D.J. Trahan,37,"4' 8""",1.679,30,136,37,58.03,112,193,37,87.50,21,24,37,43.33,26,60,+22.00,37,57.14,44,77,37,"7' 4""",880.667,120,150,37,"4' 2""",70.583,17,136,37,+.125,24,+3.00,37,57.14,28,49,37,"9' 5""",348.417,37,136,37,"8' 11""",321.750,36,136,37,46.34,19,41,37,+.455,77,+35.00,37,-.077,-1.766,23
Rafa Cabrera Bello,29,"4' 10""",1.725,30,48,29,63.35,121,191,29,100.00,11,11,29,44.26,27,61,+24.00,29,71.43,30,42,31,"7' 0""",820.917,117,67,29,"3' 0""",27.333,9,48,29,E,11,E,29,65.79,25,38,29,"10' 6""",251.750,24,48,29,"7' 9""",326.750,42,48,29,53.33,16,30,29,+.286,42,+12.00,29,-.048,-.718,15
Tony Finau,36,"4' 11""",2.435,41,67,36,61.78,118,191,36,100.00,11,11,36,43.14,22,51,+17.00,36,64.71,33,51,40,"6' 11""","1,145.583",165,73,36,"2' 1""",23.000,11,67,36,-.273,11,-3.00,36,71.43,35,49,36,"10' 11""",348.250,32,67,36,"7' 7""",439.250,58,67,36,36.00,9,25,36,+.353,51,+18.00,36,.505,11.623,23
Jason Day,23,"5' 0""",1.567,26,65,23,61.81,89,144,23,87.50,7,8,23,61.54,32,52,+3.00,23,50.00,18,36,25,"7' 1""",655.000,92,74,23,"2' 5""",14.250,6,65,23,E,8,E,23,73.33,22,30,23,"6' 2""",117.250,19,65,23,"9' 5""",215.917,23,65,23,62.50,15,24,23,+.528,36,+19.00,23,1.032,10.317,10
Anirban Lahiri,33,"5' 2""",2.992,48,165,33,56.99,110,193,33,94.12,16,17,33,51.67,31,60,+14.00,33,50.00,34,68,33,"7' 11""","1,065.000",135,170,33,"1' 8""",11.500,7,165,33,-.176,17,-3.00,33,56.06,37,66,33,"10' 2""",397.500,39,165,33,"9' 11""",406.667,41,165,33,57.50,23,40,33,+.544,68,+37.00,33,.025,.535,21
Hideki Matsuyama,42,"5' 2""",4.175,67,71,42,61.40,132,215,42,66.67,10,15,42,52.17,36,69,+15.00,42,63.64,28,44,44,"6' 3""","1,182.500",188,82,42,"2' 9""",37.917,14,71,42,+.067,15,+1.00,42,65.00,39,60,42,"9' 3""",455.167,49,71,42,"6' 0""",259.417,43,71,42,48.84,21,43,42,+.364,44,+16.00,42,.549,15.922,29
"Ted Potter, Jr.",30,"5' 2""",2.229,36,54,30,62.73,101,161,30,100.00,17,17,30,41.07,23,56,+20.00,30,62.96,34,54,32,"7' 2""",870.750,122,92,30,"2' 0""",11.917,6,54,30,-.059,17,-1.00,30,71.11,32,45,30,"10' 4""",320.750,31,54,30,"7' 9""",278.583,36,54,30,45.00,18,40,30,+.481,54,+26.00,30,-.105,-2.100,20
