player,Percentage of Yardage covered by Tee Shots-ROUNDS,Percentage of Yardage covered by Tee Shots-AVG (%),Percentage of Yardage covered by Tee Shots-TOTAL SHOT DISTANCE,Percentage of Yardage covered by Tee Shots-TOTAL DISTANCE,Right Tendency-EVENTS,Right Tendency-%,Right Tendency-NUMBER OF TIMES,Right Tendency-ATTEMPTS,Right Tendency-AVG RTP SCORE,Missed Fairway Percent - Other-ROUNDS,Missed Fairway Percent - Other-%,Missed Fairway Percent - Other-TOTAL MISSED,Missed Fairway Percent - Other-TOTAL FWYS,Missed Fairway Percent - Other-RELATIVE TO PAR,Percentage of Yardage covered by Tee Shots - Par 5's-ROUNDS,Percentage of Yardage covered by Tee Shots - Par 5's-AVG (%),Percentage of Yardage covered by Tee Shots - Par 5's-TOTAL SHOT DISTANCE,Percentage of Yardage covered by Tee Shots - Par 5's-TOTAL DISTANCE,Driving Pct 320+ (Measured)-ROUNDS,Driving Pct 320+ (Measured)-%,Driving Pct 320+ (Measured)-TOTAL DRIVES FOR 320+,Driving Pct 320+ (Measured)-TOTAL DRVS - OVERALL,Driving Pct 320+ (Measured)-RELATIVE TO PAR,Percentage of Yardage covered by Tee Shots - Par 4's-ROUNDS,Percentage of Yardage covered by Tee Shots - Par 4's-AVG (%),Percentage of Yardage covered by Tee Shots - Par 4's-TOTAL SHOT DISTANCE,Percentage of Yardage covered by Tee Shots - Par 4's-TOTAL DISTANCE,Left Tendency-EVENTS,Left Tendency-%,Left Tendency-NUMBER OF TIMES,Left Tendency-ATTEMPTS,Left Tendency-AVG RTP SCORE,Left Rough Tendency (RTP Score)-ROUNDS,Left Rough Tendency (RTP Score)-RTP SCORE,Fairway Bunker Tendency-ROUNDS,Fairway Bunker Tendency-%,Fairway Bunker Tendency-TOTAL FAIRWAY BUNKERS,Fairway Bunker Tendency-POSSIBLE FWYS,Fairway Bunker Tendency-RELATIVE TO PAR,SG: Off-the-Tee-ROUNDS,SG: Off-the-Tee-AVERAGE,SG: Off-the-Tee-TOTAL SG:OTT,SG: Off-the-Tee-MEASURED ROUNDS,SG: Tee-to-Green-ROUNDS,SG: Tee-to-Green-AVERAGE,SG: Tee-to-Green-SG:OTT,SG: Tee-to-Green-SG:APR,SG: Tee-to-Green-SG:ARG,SG: Tee-to-Green-MEASURED ROUNDS,Right Rough Tendency (RTP Score)-ROUNDS,Right Rough Tendency (RTP Score)-RTP SCORE,Right Rough Tendency-ROUNDS,Right Rough Tendency-%,Right Rough Tendency-TOTAL RIGHT ROUGH,Right Rough Tendency-POSSIBLE FWYS,Right Rough Tendency-RELATIVE TO PAR,Left Rough Tendency-ROUNDS,Left Rough Tendency-%,Left Rough Tendency-TOTAL LEFT ROUGH,Left Rough Tendency-POSSIBLE FWYS,Left Rough Tendency-RELATIVE TO PAR,Good Drive Percentage-ROUNDS,Good Drive Percentage-%,Good Drive Percentage-# HIT,Good Drive Percentage-TOTAL ATTEMPTS,Driving Accuracy Percentage-ROUNDS,Driving Accuracy Percentage-%,Driving Accuracy Percentage-FAIRWAYS HIT,Driving Accuracy Percentage-POSSIBLE FAIRWAYS,Rough Tendency-ROUNDS,Rough Tendency-%,Rough Tendency-TOTAL ROUGH,Rough Tendency-POSSIBLE FWYS,Rough Tendency-RELATIVE TO PAR,Hit Fairway Percentage-ROUNDS,Hit Fairway Percentage-%,Hit Fairway Percentage-FAIRWAYS HIT,Hit Fairway Percentage-POSSIBLE FAIRWAYS,Hit Fairway Percentage-RELATIVE TO PAR
Sergio Garcia,22,67.63,"436,412","64,529",6,50.0,24,48,+0.42,22,2.90,4,138,-0.50,26,54.42,"123,791","22,746",22,50.00,10,20,-0.20,22,72.02,"347,502","48,250",6,50.0,24,48,-0.42,22,-.120,22,5.1,7,29,E,26,.983,13.762,14,22,.966,1.219,-.368,.115,10,22,+.050,22,14.49,20,138,+0.05,22,18.12,25,138,-0.12,22,83.55,254,304,26,61.39,221,360,22,32.61,45,138,-0.44,22,59.42,82,138,-0.12
Cameron Champ,42,66.93,"1,432,253","214,006",12,47.8,88,184,+1.02,42,3.04,14,460,+0.50,42,57.05,"387,591","67,943",42,52.38,44,84,-0.52,42,71.52,"1,044,662","146,063",12,52.2,96,184,+1.15,42,+.011,42,4.3,20,85,+0.350,42,1.079,35.610,33,42,.957,1.079,.146,-.268,33,42,+.039,42,16.74,77,460,+0.04,42,19.13,88,460,+0.01,42,82.06,485,591,42,57.53,340,591,42,35.87,165,460,+0.24,42,56.74,261,460,-0.32
Bryson DeChambeau,30,66.81,"1,284,748","192,288",8,54.7,82,150,+0.37,30,3.13,13,415,+0.38,34,57.10,"334,766","58,625",30,58.33,35,60,-0.37,30,70.41,"986,651","140,130",8,45.3,68,150,+0.44,30,-.050,30,3.9,16,66,+0.250,34,1.098,37.325,34,30,1.588,1.119,.397,.072,30,30,-.068,30,17.59,73,415,-0.07,30,14.46,60,415,-0.05,30,83.81,352,420,34,61.13,291,476,30,32.05,133,415,-0.60,30,60.96,253,415,-0.27
Ryan Brehm,42,66.78,"1,023,572","153,273",13,45.0,77,171,+0.39,42,6.65,22,331,+0.95,42,56.08,"253,270","45,159",42,42.86,36,84,-0.33,42,71.25,"770,302","108,114",13,55.0,94,171,+2.98,42,+.076,42,10.0,33,142,+0.121,42,.165,3.953,24,42,-.437,.165,-.362,-.239,24,42,-.052,42,17.52,58,331,-0.05,42,19.94,66,331,+0.08,42,79.05,464,587,42,47.36,278,587,42,37.46,124,331,+0.16,42,45.92,152,331,-0.21
Bubba Watson,34,66.72,"1,076,909","161,402",10,43.6,61,140,E,34,2.61,9,345,E,38,55.46,"265,250","47,825",34,50.00,26,52,-0.54,34,70.49,"846,176","120,044",10,56.4,79,140,+0.13,34,-.015,34,8.7,30,127,+0.100,38,.627,18.194,29,34,.584,.664,.041,-.120,25,34,-.040,34,14.49,50,345,-0.04,34,19.13,66,345,-0.02,34,80.30,379,472,38,57.20,302,528,34,33.62,116,345,-0.26,34,55.07,190,345,-0.27
Justin Thomas,32,66.25,"1,029,372","155,385",9,44.9,62,138,-1.94,32,2.42,8,330,+0.38,36,54.57,"264,690","48,507",32,27.08,13,48,-0.38,32,70.74,"801,770","113,345",9,55.1,76,138,-0.53,32,-.131,32,5.8,19,80,-0.105,36,.395,11.069,28,32,1.773,.431,1.069,.273,24,32,-.196,32,16.97,56,330,-0.20,32,18.48,61,330,-0.13,32,85.71,384,448,36,57.14,288,504,32,35.45,117,330,-1.62,32,56.36,186,330,-0.26
Dustin Johnson,18,65.88,"687,983","104,434",5,33.3,26,78,+2.69,18,3.52,8,227,+0.38,22,54.86,"197,600","36,021",18,36.11,13,36,-0.08,18,70.33,"526,661","74,880",5,66.7,52,78,+0.96,18,+.038,18,4.4,10,42,+0.500,22,.722,14.450,20,18,.418,.567,.067,-.216,16,18,+.158,18,8.37,19,227,+0.16,18,22.91,52,227,+0.04,18,81.96,209,255,22,64.31,200,311,18,31.28,71,227,+0.70,18,60.79,138,227,-0.20
Brandon Hagy,36,65.87,"1,086,512","164,937",13,49.1,84,171,+1.90,36,9.22,33,358,+0.70,36,56.29,"239,617","42,571",36,38.89,28,72,-0.61,36,69.21,"846,895","122,366",13,50.9,87,171,+1.15,36,+.014,36,4.7,17,73,+0.235,36,-.152,-3.943,26,36,-.656,-.152,-.488,-.016,26,36,E,36,17.32,62,358,E,36,19.55,70,358,+0.01,36,80.72,406,503,36,51.69,260,503,36,36.87,132,358,+0.08,36,49.16,176,358,-0.16
Matthew Wolff,40,65.84,"1,236,738","187,833",11,46.2,72,156,+0.42,40,3.25,13,400,+0.92,42,56.52,"310,361","54,909",40,40.63,26,64,-0.12,40,69.31,"943,615","136,152",11,53.8,84,156,+2.86,40,+.106,40,5.8,23,98,+0.304,42,.509,15.785,31,40,-.160,.639,-.305,-.494,29,40,-.050,40,15.00,60,400,-0.05,40,16.50,66,400,+0.11,40,80.54,451,560,42,57.31,337,588,40,31.50,126,400,+0.32,40,59.50,238,400,-0.19
Kurt Kitayama,18,65.79,"499,895","75,981",5,68.8,44,64,+2.50,18,6.63,11,166,+0.55,18,57.30,"110,402","19,267",18,39.29,11,28,+0.45,18,68.68,"389,493","56,714",5,31.3,20,64,+1.00,18,-.056,18,6.0,10,43,+0.200,18,.199,2.391,12,18,.470,.199,.033,.238,12,18,+.030,18,19.88,33,166,+0.03,18,10.84,18,166,-0.06,18,78.88,198,251,18,54.18,136,251,18,30.72,51,166,E,18,56.63,94,166,-0.14
