player,Bogey Average-EVENTS,Bogey Average-AVERAGE BOGEYS PER ROUND,Bogey Average-TOTAL BOGEYS,Bogey Average-ROUNDS PLAYED,Final Round Performance-EVENTS,Final Round Performance-%,Front 9 Par 4 Scoring Average-ROUNDS,Front 9 Par 4 Scoring Average-AVG,Front 9 Par 4 Scoring Average-TOTAL STROKES,Front 9 Par 4 Scoring Average-TOTAL HOLES,Back 9 Par 4 Scoring Average-ROUNDS,Back 9 Par 4 Scoring Average-AVG,Back 9 Par 4 Scoring Average-TOTAL STROKES,Back 9 Par 4 Scoring Average-TOTAL HOLES,Birdie Average-ROUNDS,Birdie Average-AVG,Birdie Average-# OF BIRDIES,Birdie Average-TOTAL ROUNDS,Scoring Average-ROUNDS,Scoring Average-AVG,Scoring Average-TOTAL STROKES,Scoring Average-TOTAL ADJUSTMENT,Scoring Average-TOTAL ROUNDS,Front 9 Round 1 Scoring Average-AVG,Front 9 Round 1 Scoring Average-TOTAL STROKES,Front 9 Round 1 Scoring Average-TOTAL ROUNDS,Front 9 Par 3 Scoring Average-ROUNDS,Front 9 Par 3 Scoring Average-AVG,Front 9 Par 3 Scoring Average-TOTAL STROKES,Front 9 Par 3 Scoring Average-TOTAL HOLES,Birdie to Bogey Ratio-ROUNDS,Birdie to Bogey Ratio-BIRDIE TO BOGEY RATIO,Birdie to Bogey Ratio-TOTAL BIRDIES AND BETTER,Birdie to Bogey Ratio-TOTAL BOGEYS AND WORSE,Back 9 Round 1 Scoring Average-AVG,Back 9 Round 1 Scoring Average-TOTAL STROKES,Back 9 Round 1 Scoring Average-TOTAL ROUNDS,Bogey Avoidance-ROUNDS,Bogey Avoidance-% MAKES BOGEY,Bogey Avoidance-BOGEYS,Bogey Avoidance-HOLES PLAYED,Back 9 Par 3 Scoring Average-ROUNDS,Back 9 Par 3 Scoring Average-AVG,Back 9 Par 3 Scoring Average-TOTAL STROKES,Back 9 Par 3 Scoring Average-TOTAL HOLES,Par 5 Performance-ROUNDS,Par 5 Performance-STATUS,Par 5 Performance-PAR 5 AVG,Par 5 Performance-TOTAL PAR,SG: Total-ROUNDS,SG: Total-AVERAGE,SG: Total-TOTAL SG:T,SG: Total-TOTAL SG:T2G,SG: Total-TOTAL SG:P,SG: Total-MEASURED ROUNDS,Total Eagles-ROUNDS,Total Eagles-TOTAL,Round 3 Scoring Average-AVG,Round 3 Scoring Average-TOTAL STROKES,Round 3 Scoring Average-TOTAL ROUNDS,Round 2 Scoring Average-AVG,Round 2 Scoring Average-TOTAL STROKES,Round 2 Scoring Average-TOTAL ROUNDS,Par 4 Performance-ROUNDS,Par 4 Performance-STATUS,Par 4 Performance-PAR 4 AVG,Par 4 Performance-TOTAL PAR,Final Round Scoring Average-AVG,Final Round Scoring Average-TOTAL STROKES,Final Round Scoring Average-TOTAL ROUNDS,Back 9 Round 4 Scoring Average-AVG,Back 9 Round 4 Scoring Average-TOTAL STROKES,Back 9 Round 4 Scoring Average-TOTAL ROUNDS,Round 4 Scoring Average-AVG,Round 4 Scoring Average-TOTAL STROKES,Round 4 Scoring Average-TOTAL ROUNDS,Par 4 Scoring Average-ROUNDS,Par 4 Scoring Average-AVG,Par 4 Scoring Average-TOTAL STROKES,Par 4 Scoring Average-TOTAL HOLES,Par Breakers-ROUNDS,Par Breakers-%,Par Breakers-# BIRDIES/EAGLES,Par Breakers-# HOLES,Back 9 Round 2 Scoring Average-AVG,Back 9 Round 2 Scoring Average-TOTAL STROKES,Back 9 Round 2 Scoring Average-TOTAL ROUNDS,Bounce Back-ROUNDS,Bounce Back-%,Birdie or Better Percentage-ROUNDS,Birdie or Better Percentage-%,Birdie or Better Percentage-TOTAL BIRDIES,Birdie or Better Percentage-TOTAL HOLES,Birdie or Better Percentage-GIR RANK,Front 9 Round 3 Scoring Average-AVG,Front 9 Round 3 Scoring Average-TOTAL STROKES,Front 9 Round 3 Scoring Average-TOTAL ROUNDS,Front 9 Round 2 Scoring Average-AVG,Front 9 Round 2 Scoring Average-TOTAL STROKES,Front 9 Round 2 Scoring Average-TOTAL ROUNDS,Scoring Average Before Cut-AVG,Scoring Average Before Cut-TOTAL STROKES,Scoring Average Before Cut-TOTAL ROUNDS,Back 9 Scoring Average-ROUNDS,Back 9 Scoring Average-AVG,Back 9 Scoring Average-TOTAL STROKES,Back 9 Scoring Average-TOTAL HOLES,Par 5 Eagle Leaders-ROUNDS,Par 5 Eagle Leaders-TOTAL,Par 5 Eagle Leaders-TOTAL PAR 5 HOLES,Par 5 Eagle Leaders-TOTAL HOLE OUTS,Round 1 Scoring Average-AVG,Round 1 Scoring Average-TOTAL STROKES,Round 1 Scoring Average-TOTAL ROUNDS,Back 9 Par 5 Scoring Average-ROUNDS,Back 9 Par 5 Scoring Average-AVG,Back 9 Par 5 Scoring Average-TOTAL STROKES,Back 9 Par 5 Scoring Average-TOTAL HOLES,Par 4 Birdie or Better Leaders-ROUNDS,Par 4 Birdie or Better Leaders-%,Par 4 Birdie or Better Leaders-PAR 4 BIRDIES OR BETTER,Par 4 Birdie or Better Leaders-PAR 4 HOLES,Back 9 Round 3 Scoring Average-AVG,Back 9 Round 3 Scoring Average-TOTAL STROKES,Back 9 Round 3 Scoring Average-TOTAL ROUNDS,Par 5 Scoring Average-ROUNDS,Par 5 Scoring Average-AVG,Par 5 Scoring Average-TOTAL STROKES,Par 5 Scoring Average-TOTAL HOLES,Par 3 Scoring Average-ROUNDS,Par 3 Scoring Average-AVG,Par 3 Scoring Average-TOTAL STROKES,Par 3 Scoring Average-TOTAL HOLES,Total Birdies-ROUNDS,Total Birdies-TOTAL,Par 5 Birdie or Better Leaders-ROUNDS,Par 5 Birdie or Better Leaders-%,Par 5 Birdie or Better Leaders-PAR 5 BIRDIES OR BETTER,Par 5 Birdie or Better Leaders-PAR 5 HOLES,Front 9 Round 4 Scoring Average-AVG,Front 9 Round 4 Scoring Average-TOTAL STROKES,Front 9 Round 4 Scoring Average-TOTAL ROUNDS,Par 3 Birdie or Better Leaders-ROUNDS,Par 3 Birdie or Better Leaders-%,Par 3 Birdie or Better Leaders-PAR 3 BIRDIES OR BETTER,Par 3 Birdie or Better Leaders-PAR 3 HOLES,Stroke Differential Field Average-ROUNDS,Stroke Differential Field Average-STROKE DIFFERENTIAL,Stroke Differential Field Average-PLAYER'S SCORE,Stroke Differential Field Average-FIELD AVERAGE SCORE,Eagles (Holes per)-ROUNDS,Eagles (Holes per)-FREQUENCY,Eagles (Holes per)-# OF HOLES,Eagles (Holes per)-# OF EAGLES,Scoring Average (Actual)-ROUNDS,Scoring Average (Actual)-AVG,Scoring Average (Actual)-TOTAL STROKES,Scoring Average (Actual)-TOTAL ROUNDS,Front 9 Par 5 Scoring Average-ROUNDS,Front 9 Par 5 Scoring Average-AVG,Front 9 Par 5 Scoring Average-TOTAL STROKES,Front 9 Par 5 Scoring Average-TOTAL HOLES,Par 3 Performance-ROUNDS,Par 3 Performance-STATUS,Par 3 Performance-PAR 3 AVG,Par 3 Performance-TOTAL PAR
Gary Woodland,9,1.79,61,34,9,50.00,34,3.96,752,190,34,3.97,723,182,38,4.34,165,38,38,69.653,"2,620",26.808,38,34.11,307,9,38,2.96,237,80,34,2.14,148,69,35.10,351,10,38,11.70,80,684,34,3.02,193,64,34,-57,4.45,5.20,38,1.116,32.368,23.236,9.133,29,34,4,68.38,547,8,67.89,611,9,34,-13,3.97,14.88,69.63,557,8,35.38,283,8,69.63,557,8,38,3.95,"1,645",416,34,24.18,148,612,33.67,303,9,34,25.37,34,24.18,148,612,7,33.63,269,8,34.20,342,10,68.75,"1,375",20,34,34.82,"1,184",34,34,3,104,0,69.67,627,9,34,4.47,268,60,34,18.55,69,372,34.75,278,8,34,4.45,463,104,38,3.00,456,152,34,144,38,56.90,66,116,34.25,274,8,34,13.97,19,136,34,+1.63,68.88,70.51,34,153.0,612,4,38,68.95,"2,620",38,34,4.43,195,44,34,-4,2.97,4.08
Webb Simpson,6,1.82,40,22,6,60.00,22,3.88,508,131,22,3.87,460,119,26,4.92,128,26,26,68.662,"1,758",27.212,26,34.83,209,6,26,3.12,162,52,22,2.39,105,44,34.86,244,7,26,10.47,49,468,22,2.98,131,44,22,-29,4.50,2.90,26,1.883,47.085,29.702,17.385,25,22,2,66.20,331,5,67.50,405,6,22,-32,3.87,10.00,68.20,341,5,34.20,171,5,68.20,341,5,26,3.85,"1,131",294,22,26.52,105,396,34.00,204,6,22,23.81,22,26.52,105,396,11,33.20,166,5,33.29,233,7,68.14,954,14,22,34.09,750,22,22,1,58,0,69.83,419,6,22,4.54,159,35,22,25.60,64,250,33.00,165,5,22,4.50,261,58,26,3.04,316,104,22,103,26,55.71,39,70,34.00,170,5,22,12.50,11,88,22,+1.77,68.00,69.77,22,198.0,396,2,26,67.62,"1,758",26,22,4.43,102,23,22,+3,3.03,2.64
Rory McIlroy,7,1.86,52,28,7,85.71,28,3.95,600,152,28,3.98,573,144,32,4.28,137,32,32,68.749,"2,193",6.970,32,32.29,226,7,32,3.00,204,68,28,2.21,128,58,35.63,285,8,32,11.11,64,576,28,2.93,164,56,28,-54,4.41,4.60,32,1.939,44.588,44.664,-.076,23,28,9,67.86,475,7,68.14,477,7,28,-11,3.96,11.84,70.71,495,7,35.00,245,7,70.71,495,7,32,3.95,"1,344",340,28,25.40,128,504,34.00,238,7,28,22.22,28,25.40,128,504,13,33.86,237,7,34.00,272,8,67.94,"1,087",16,28,34.57,968,28,28,8,92,0,67.57,473,7,28,4.44,231,52,28,18.92,56,296,34.00,238,7,28,4.41,406,92,32,2.96,391,132,28,119,32,59.62,62,104,35.71,250,7,28,16.38,19,116,28,+2.62,68.57,71.19,28,56.0,504,9,32,68.53,"2,193",32,28,4.38,175,40,28,-7,2.94,3.48
Russell Henley,11,1.89,66,35,11,33.33,35,3.98,795,200,35,4.00,736,184,37,3.32,123,37,37,70.903,"2,600",23.416,37,35.09,386,11,37,3.08,228,74,35,1.47,119,81,34.42,413,12,37,13.06,87,666,35,3.04,213,70,35,-31,4.71,5.30,37,.374,11.971,15.253,-3.280,32,35,4,69.71,488,7,70.64,777,11,35,-5,3.99,15.36,71.67,430,6,36.00,216,6,71.67,430,6,37,4.00,"1,622",406,35,18.89,119,630,36.18,398,11,35,13.51,35,18.89,119,630,25,35.00,245,7,34.50,414,12,70.12,"1,753",25,35,35.31,"1,236",35,35,3,106,3,69.55,765,11,35,4.70,287,61,35,17.97,69,384,34.71,243,7,35,4.71,499,106,37,3.05,452,148,35,115,37,33.93,38,112,35.67,214,6,35,11.43,16,140,35,+.15,70.29,70.44,35,157.5,630,4,37,70.27,"2,600",37,35,4.71,212,45,35,+10,3.07,4.20
Jon Rahm,6,1.91,42,22,6,60.00,22,3.92,486,124,22,4.03,467,116,26,4.23,110,26,26,69.527,"1,791",16.706,26,34.50,207,6,26,2.96,154,52,22,2.16,97,45,35.14,246,7,26,10.90,51,468,22,2.83,113,40,22,-37,4.49,3.60,26,1.823,45.572,29.915,15.658,25,22,4,66.60,333,5,70.00,420,6,22,-7,3.97,9.60,70.20,351,5,34.80,174,5,70.20,351,5,26,3.95,"1,122",284,22,24.49,97,396,35.83,215,6,22,24.39,22,24.49,97,396,17,32.80,164,5,34.14,239,7,69.50,973,14,22,34.82,766,22,22,2,72,1,69.17,415,6,22,4.43,186,42,22,17.08,41,240,33.80,169,5,22,4.49,323,72,26,2.93,293,100,22,93,26,53.57,45,84,35.40,177,5,22,20.24,17,84,22,+2.02,69.05,71.07,22,99.0,396,4,26,68.88,"1,791",26,22,4.57,137,30,22,-9,2.89,2.52
Harris English,12,1.93,85,44,12,50.00,44,3.90,931,239,44,4.01,926,231,48,3.96,190,48,48,69.725,"3,323",23.808,48,33.42,401,12,48,2.91,279,96,44,1.94,175,90,35.00,455,13,48,10.88,94,864,44,3.05,268,88,44,-55,4.62,7.30,48,1.465,58.587,39.494,19.095,40,44,4,69.70,697,10,69.17,830,12,44,-23,3.95,18.80,70.50,705,10,35.80,358,10,70.50,705,10,48,3.94,"2,024",514,44,22.10,175,792,35.42,425,12,44,19.32,44,22.10,175,792,6,35.10,351,10,33.92,441,13,68.63,"1,853",27,44,35.23,"1,550",44,44,4,146,0,68.50,822,12,44,4.62,356,77,44,17.87,84,470,34.60,346,10,44,4.62,675,146,48,2.96,569,192,44,171,48,41.77,66,158,34.70,347,10,44,17.05,30,176,44,+1.55,69.41,70.96,44,198.0,792,4,48,69.23,"3,323",48,44,4.62,319,69,44,-6,2.97,5.28
Bryson DeChambeau,8,1.93,58,30,8,85.71,30,3.93,684,174,30,3.92,604,154,34,4.38,149,34,34,68.957,"2,325",19.522,34,34.50,276,8,34,2.93,199,68,30,2.18,133,61,33.78,304,9,34,10.62,65,612,30,2.95,177,60,30,-44,4.52,4.60,34,2.102,71.479,55.375,16.106,34,30,5,70.71,495,7,67.50,540,8,30,-24,3.93,13.12,68.14,477,7,33.86,237,7,68.14,477,7,34,3.92,"1,458",372,30,24.63,133,540,34.38,275,8,30,28.81,30,24.63,133,540,32,35.00,245,7,32.78,295,9,67.61,"1,217",18,30,34.40,"1,032",30,30,3,92,0,68.25,546,8,30,4.48,251,56,30,19.51,64,328,35.71,250,7,30,4.52,416,92,34,2.93,399,136,30,128,34,53.85,56,104,34.29,240,7,30,18.33,22,120,30,+2.09,68.60,70.69,30,108.0,540,5,34,68.38,"2,325",34,30,4.58,165,36,30,-6,2.95,3.60
Shane Lowry,5,2.00,36,18,5,100.00,18,4.00,400,100,18,4.03,387,96,20,3.15,63,20,20,70.419,"1,406",2.387,20,34.60,173,5,20,3.09,136,44,18,1.33,60,45,36.17,217,6,20,13.33,48,360,18,3.17,114,36,18,-21,4.60,2.60,20,.074,.885,6.534,-5.649,12,18,1,70.75,283,4,70.40,352,5,18,+3,4.02,7.84,68.75,275,4,35.25,141,4,68.75,275,4,20,4.01,875,218,18,18.52,60,324,35.40,177,5,18,23.81,18,18.52,60,324,24,35.50,142,4,34.50,207,6,70.67,848,12,18,35.61,641,18,18,1,52,1,71.00,355,5,18,4.67,140,30,18,13.78,27,196,35.25,141,4,18,4.60,239,52,20,3.12,262,84,18,59,20,46.55,27,58,33.50,134,4,18,10.53,8,76,18,+.42,70.28,70.70,18,324.0,324,1,20,70.30,"1,406",20,18,4.50,99,22,18,+11,3.14,2.28
Justin Thomas,9,2.00,64,32,9,71.43,32,3.93,691,176,32,3.88,660,170,36,4.86,175,36,36,69.026,"2,459",25.926,36,34.78,313,9,36,3.09,235,76,32,2.29,156,68,34.60,346,10,36,11.42,74,648,32,2.95,177,60,32,-57,4.44,5.10,36,2.024,56.681,48.497,8.185,28,32,2,68.43,479,7,68.11,613,9,32,-33,3.90,13.84,68.43,479,7,34.71,243,7,68.43,479,7,36,3.90,"1,520",390,32,27.08,156,576,33.89,305,9,32,29.03,32,27.08,156,576,12,33.71,236,7,34.00,340,10,68.60,"1,372",20,32,34.34,"1,099",32,32,1,102,0,69.00,621,9,32,4.52,262,58,32,22.25,77,346,34.71,243,7,32,4.44,453,102,36,3.02,435,144,32,154,36,62.28,71,114,33.71,236,7,32,12.50,16,128,32,+2.13,68.50,70.63,32,288.0,576,2,36,68.31,"2,459",36,32,4.34,191,44,32,+4,3.03,3.84
Cameron Percy,11,2.08,77,37,11,42.86,37,3.92,792,202,37,3.98,780,196,37,3.68,136,37,37,70.769,"2,590",28.451,37,34.82,383,11,37,3.16,234,74,37,1.61,140,87,35.18,387,11,37,13.06,87,666,37,3.08,228,74,37,-44,4.63,6.00,37,.621,15.523,13.310,2.215,25,37,4,70.88,567,8,69.55,765,11,37,-20,3.95,15.92,69.71,488,7,34.86,244,7,69.71,488,7,37,3.95,"1,572",398,37,21.02,140,666,34.82,383,11,37,18.75,37,21.02,140,666,14,34.75,278,8,34.73,382,11,69.70,"1,603",23,37,35.22,"1,303",37,37,4,120,1,70.00,770,11,37,4.68,295,63,37,19.85,79,398,36.13,289,8,37,4.63,556,120,37,3.12,462,148,37,136,37,37.50,45,120,34.86,244,7,37,10.81,16,148,37,+.47,70.00,70.47,37,166.5,666,4,37,70.00,"2,590",37,37,4.58,261,57,37,+18,3.12,4.44
